factor,outcome,mf_FPG,mf_SBP,mf_LDL,bmi_FPG,bmi_SBP,bmi_LDL,convergence,via_mediator,n_mediation_rows,glp1_channel
fiber,IHD,,,,0.149,0.312,0.1,0.0,,0,Direct effect only - structurally unreachable
fiber,IschStroke,,,,0.217,0.647,0.034,0.0,,0,Direct effect only - structurally unreachable
fiber,ICH,,,,0.222,0.651,,0.0,,0,Direct effect only - structurally unreachable
fiber,SAH,,,,,0.651,,0.0,,0,Direct effect only - structurally unreachable
fiber,T2D,,,,1.0,,,0.0,,0,Direct effect only - structurally unreachable
fruits,IHD,,0.065,0.065,0.149,0.312,0.1,0.13,SBP+LDL,2,Partial convergence - partly reachable
fruits,IschStroke,0.05,0.05,0.05,0.217,0.647,0.034,0.15,FPG+SBP+LDL,3,Partial convergence - partly reachable
fruits,ICH,,0.024,,0.222,0.651,,0.024,SBP,1,Minimal convergence - largely unreachable
fruits,SAH,,0.024,,,0.651,,0.024,SBP,1,Minimal convergence - largely unreachable
fruits,T2D,1.0,,,1.0,,,1.0,FPG,1,Full convergence - structurally reachable
fruits,CKD,0.151,0.849,,0.496,0.504,,1.0,SBP+FPG,2,Full convergence - structurally reachable
legumes,IHD,,,,0.149,0.312,0.1,0.0,,0,Direct effect only - structurally unreachable
legumes,IschStroke,,,,0.217,0.647,0.034,0.0,,0,Direct effect only - structurally unreachable
legumes,ICH,,,,0.222,0.651,,0.0,,0,Direct effect only - structurally unreachable
legumes,SAH,,,,,0.651,,0.0,,0,Direct effect only - structurally unreachable
legumes,T2D,,,,1.0,,,0.0,,0,Direct effect only - structurally unreachable
milk,IHD,,,,0.149,0.312,0.1,0.0,,0,Direct effect only - structurally unreachable
milk,IschStroke,,,,0.217,0.647,0.034,0.0,,0,Direct effect only - structurally unreachable
milk,ICH,,,,0.222,0.651,,0.0,,0,Direct effect only - structurally unreachable
milk,SAH,,,,,0.651,,0.0,,0,Direct effect only - structurally unreachable
milk,T2D,,,,1.0,,,0.0,,0,Direct effect only - structurally unreachable
nutsseeds,IHD,,,0.196,0.149,0.312,0.1,0.196,LDL,1,Partial convergence - partly reachable
nutsseeds,IschStroke,,,,0.217,0.647,0.034,0.0,,0,Direct effect only - structurally unreachable
nutsseeds,ICH,,,,0.222,0.651,,0.0,,0,Direct effect only - structurally unreachable
nutsseeds,SAH,,,,,0.651,,0.0,,0,Direct effect only - structurally unreachable
nutsseeds,T2D,,,,1.0,,,0.0,,0,Direct effect only - structurally unreachable
omega6,IHD,,,0.002,0.149,0.312,0.1,0.002,LDL,1,Minimal convergence - largely unreachable
omega6,IschStroke,,,1.0,0.217,0.647,0.034,1.0,LDL,1,Full convergence - structurally reachable
omega6,ICH,,,,0.222,0.651,,0.0,,0,Direct effect only - structurally unreachable
omega6,SAH,,,,,0.651,,0.0,,0,Direct effect only - structurally unreachable
omega6,T2D,,,,1.0,,,0.0,,0,Direct effect only - structurally unreachable
procmeat,IHD,0.01,,,0.149,0.312,0.1,0.01,FPG,1,Minimal convergence - largely unreachable
procmeat,IschStroke,1.0,,,0.217,0.647,0.034,1.0,FPG,1,Full convergence - structurally reachable
procmeat,ICH,,,,0.222,0.651,,0.0,,0,Direct effect only - structurally unreachable
procmeat,SAH,,,,,0.651,,0.0,,0,Direct effect only - structurally unreachable
procmeat,T2D,1.0,,,1.0,,,1.0,FPG,1,Full convergence - structurally reachable
procmeat,CKD,1.0,,,0.496,0.504,,1.0,FPG,1,Full convergence - structurally reachable
redmeat,IHD,,,,0.149,0.312,0.1,0.0,,0,Direct effect only - structurally unreachable
redmeat,IschStroke,,,,0.217,0.647,0.034,0.0,,0,Direct effect only - structurally unreachable
redmeat,ICH,,,,0.222,0.651,,0.0,,0,Direct effect only - structurally unreachable
redmeat,SAH,,,,,0.651,,0.0,,0,Direct effect only - structurally unreachable
redmeat,T2D,1.0,,,1.0,,,1.0,FPG,1,Full convergence - structurally reachable
redmeat,CKD,1.0,,,0.496,0.504,,1.0,FPG,1,Full convergence - structurally reachable
seafood_omega3,IHD,,,,0.149,0.312,0.1,0.0,,0,Direct effect only - structurally unreachable
seafood_omega3,IschStroke,,,,0.217,0.647,0.034,0.0,,0,Direct effect only - structurally unreachable
seafood_omega3,ICH,,,,0.222,0.651,,0.0,,0,Direct effect only - structurally unreachable
seafood_omega3,SAH,,,,,0.651,,0.0,,0,Direct effect only - structurally unreachable
seafood_omega3,T2D,,,,1.0,,,0.0,,0,Direct effect only - structurally unreachable
sodium,IHD,,1.0,,0.149,0.312,0.1,1.0,SBP,1,Full convergence - structurally reachable
sodium,IschStroke,,1.0,,0.217,0.647,0.034,1.0,SBP,1,Full convergence - structurally reachable
sodium,ICH,,1.0,,0.222,0.651,,1.0,SBP,1,Full convergence - structurally reachable
sodium,SAH,,1.0,,,0.651,,1.0,SBP,1,Full convergence - structurally reachable
sodium,T2D,,,,1.0,,,0.0,,0,Direct effect only - structurally unreachable
sodium,CKD,,1.0,,0.496,0.504,,1.0,SBP,1,Full convergence - structurally reachable
ssb,IHD,,,,0.149,0.312,0.1,0.0,,0,Direct effect only - structurally unreachable
ssb,IschStroke,1.0,,,0.217,0.647,0.034,1.0,FPG,1,Full convergence - structurally reachable
ssb,ICH,,,,0.222,0.651,,0.0,,0,Direct effect only - structurally unreachable
ssb,SAH,,,,,0.651,,0.0,,0,Direct effect only - structurally unreachable
ssb,T2D,1.0,,,1.0,,,1.0,FPG,1,Full convergence - structurally reachable
ssb,CKD,1.0,,,0.496,0.504,,1.0,FPG,1,Full convergence - structurally reachable
transfat,IHD,,,0.15,0.149,0.312,0.1,0.15,LDL,1,Partial convergence - partly reachable
transfat,IschStroke,,,,0.217,0.647,0.034,0.0,,0,Direct effect only - structurally unreachable
transfat,ICH,,,,0.222,0.651,,0.0,,0,Direct effect only - structurally unreachable
transfat,SAH,,,,,0.651,,0.0,,0,Direct effect only - structurally unreachable
transfat,T2D,,,,1.0,,,0.0,,0,Direct effect only - structurally unreachable
vegetables,IHD,0.063,0.041,0.041,0.149,0.312,0.1,0.145,FPG+SBP+LDL,3,Partial convergence - partly reachable
vegetables,IschStroke,0.083,0.027,0.087,0.217,0.647,0.034,0.197,LDL+FPG+SBP,3,Partial convergence - partly reachable
vegetables,ICH,0.083,0.036,,0.222,0.651,,0.119,FPG+SBP,2,Partial convergence - partly reachable
vegetables,SAH,,0.036,,,0.651,,0.036,SBP,1,Minimal convergence - largely unreachable
vegetables,T2D,1.0,,,1.0,,,1.0,FPG,1,Full convergence - structurally reachable
vegetables,CKD,0.055,0.945,,0.496,0.504,,1.0,SBP+FPG,2,Full convergence - structurally reachable
wholegrains,IHD,,,0.385,0.149,0.312,0.1,0.385,LDL,1,Partial convergence - partly reachable
wholegrains,IschStroke,,,0.165,0.217,0.647,0.034,0.165,LDL,1,Partial convergence - partly reachable
wholegrains,ICH,,,,0.222,0.651,,0.0,,0,Direct effect only - structurally unreachable
wholegrains,SAH,,,,,0.651,,0.0,,0,Direct effect only - structurally unreachable
wholegrains,T2D,1.0,,,1.0,,,1.0,FPG,1,Full convergence - structurally reachable
wholegrains,CKD,1.0,,,0.496,0.504,,1.0,FPG,1,Full convergence - structurally reachable
