iso3,quintile,income_pc_usd,brand_annual_usd,verified,afford_brand_pct,afford_generic_hi_pct,afford_generic_lo_pct
AUS,Q1,23083.0,3350,1,14.5,0.61,0.12
AUS,Q2,39754.0,3350,1,8.4,0.35,0.07
AUS,Q3,52899.0,3350,1,6.3,0.26,0.05
AUS,Q4,72456.0,3350,1,4.6,0.19,0.04
AUS,Q5,132408.0,3350,1,2.5,0.11,0.02
BGD,Q1,1250.0,2000,0,160.0,11.2,2.24
BGD,Q2,1818.0,2000,0,110.0,7.7,1.54
BGD,Q3,2343.0,2000,0,85.4,5.98,1.2
BGD,Q4,3096.0,2000,0,64.6,4.52,0.9
BGD,Q5,5694.0,2000,0,35.1,2.46,0.49
BGR,Q1,5334.0,3400,0,63.7,2.62,0.52
BGR,Q2,10046.0,3400,0,33.8,1.39,0.28
BGR,Q3,13691.0,3400,0,24.8,1.02,0.2
BGR,Q4,18847.0,3400,0,18.0,0.74,0.15
BGR,Q5,41072.0,3400,0,8.3,0.34,0.07
BRA,Q1,2057.0,3600,0,175.0,6.81,1.36
BRA,Q2,4273.0,3600,0,84.2,3.28,0.66
BRA,Q3,6752.0,3600,0,53.3,2.07,0.41
BRA,Q4,10444.0,3600,0,34.5,1.34,0.27
BRA,Q5,29224.0,3600,0,12.3,0.48,0.1
CAN,Q1,21722.0,4200,0,19.3,0.64,0.13
CAN,Q2,36673.0,4200,0,11.5,0.38,0.08
CAN,Q3,48521.0,4200,0,8.7,0.29,0.06
CAN,Q4,63755.0,4200,0,6.6,0.22,0.04
CAN,Q5,111430.0,4200,0,3.8,0.13,0.03
CHN,Q1,5194.0,2400,1,46.2,2.7,0.54
CHN,Q2,8111.0,2400,1,29.6,1.73,0.35
CHN,Q3,11171.0,2400,1,21.5,1.25,0.25
CHN,Q4,15582.0,2400,1,15.4,0.9,0.18
CHN,Q5,31093.0,2400,1,7.7,0.45,0.09
DEU,Q1,20769.0,3600,1,17.3,0.67,0.13
DEU,Q2,38528.0,3600,1,9.3,0.36,0.07
DEU,Q3,51170.0,3600,1,7.0,0.27,0.05
DEU,Q4,67123.0,3600,1,5.4,0.21,0.04
DEU,Q5,123109.0,3600,1,2.9,0.11,0.02
EGY,Q1,1581.0,1900,0,120.2,8.86,1.77
EGY,Q2,2200.0,1900,0,86.4,6.36,1.27
EGY,Q3,2755.0,1900,0,69.0,5.08,1.02
EGY,Q4,3488.0,1900,0,54.5,4.01,0.8
EGY,Q5,6292.0,1900,0,30.2,2.23,0.45
GBR,Q1,20729.0,3800,1,18.3,0.68,0.14
GBR,Q2,34094.0,3800,1,11.1,0.41,0.08
GBR,Q3,46368.0,3800,1,8.2,0.3,0.06
GBR,Q4,62460.0,3800,1,6.1,0.22,0.04
GBR,Q5,109100.0,3800,1,3.5,0.13,0.03
IND,Q1,1435.0,2340,1,163.1,9.76,1.95
IND,Q2,1960.0,2340,1,119.4,7.14,1.43
IND,Q3,2415.0,2340,1,96.9,5.8,1.16
IND,Q4,3022.0,2340,1,77.4,4.63,0.93
IND,Q5,4982.0,2340,1,47.0,2.81,0.56
ISR,Q1,14607.0,4300,0,29.4,0.96,0.19
ISR,Q2,30337.0,4300,0,14.2,0.46,0.09
ISR,Q3,46629.0,4300,0,9.2,0.3,0.06
ISR,Q4,67135.0,4300,0,6.4,0.21,0.04
ISR,Q5,122192.0,4300,0,3.5,0.11,0.02
JPN,Q1,13036.0,4400,1,33.8,1.07,0.21
JPN,Q2,24921.0,4400,1,17.7,0.56,0.11
JPN,Q3,33739.0,4400,1,13.0,0.41,0.08
JPN,Q4,44474.0,4400,1,9.9,0.31,0.06
JPN,Q5,75530.0,4400,1,5.8,0.19,0.04
MEX,Q1,3844.0,3600,0,93.7,3.64,0.73
MEX,Q2,6865.0,3600,0,52.4,2.04,0.41
MEX,Q3,9817.0,3600,0,36.7,1.43,0.29
MEX,Q4,14485.0,3600,0,24.9,0.97,0.19
MEX,Q5,33570.0,3600,0,10.7,0.42,0.08
NGA,Q1,510.0,2400,0,470.6,27.45,5.49
NGA,Q2,816.0,2400,0,294.1,17.16,3.43
NGA,Q3,1115.0,2400,0,215.2,12.56,2.51
NGA,Q4,1537.0,2400,0,156.1,9.11,1.82
NGA,Q5,2829.0,2400,0,84.8,4.95,0.99
NZL,Q1,17020.0,5000,0,29.4,0.82,0.16
NZL,Q2,28677.0,5000,0,17.4,0.49,0.1
NZL,Q3,38470.0,5000,0,13.0,0.36,0.07
NZL,Q4,51992.0,5000,0,9.6,0.27,0.05
NZL,Q5,96990.0,5000,0,5.2,0.14,0.03
ROU,Q1,7066.0,3400,0,48.1,1.98,0.4
ROU,Q2,13931.0,3400,0,24.4,1.0,0.2
ROU,Q3,18575.0,3400,0,18.3,0.75,0.15
ROU,Q4,24127.0,3400,0,14.1,0.58,0.12
ROU,Q5,37251.0,3400,0,9.1,0.38,0.08
TUR,Q1,4482.0,2000,0,44.6,3.12,0.62
TUR,Q2,7906.0,2000,0,25.3,1.77,0.35
TUR,Q3,11573.0,2000,0,17.3,1.21,0.24
TUR,Q4,17034.0,2000,0,11.7,0.82,0.16
TUR,Q5,40506.0,2000,0,4.9,0.35,0.07
USA,Q1,22647.0,16188,1,71.5,0.62,0.12
USA,Q2,44405.0,16188,1,36.5,0.32,0.06
USA,Q3,67052.0,16188,1,24.1,0.21,0.04
USA,Q4,100355.0,16188,1,16.1,0.14,0.03
USA,Q5,209148.0,16188,1,7.7,0.07,0.01
ZAF,Q1,1160.0,3200,0,275.9,12.07,2.41
ZAF,Q2,2163.0,3200,0,147.9,6.47,1.29
ZAF,Q3,3386.0,3200,0,94.5,4.13,0.83
ZAF,Q4,5988.0,3200,0,53.4,2.34,0.47
ZAF,Q5,18653.0,3200,0,17.2,0.75,0.15
