factor,mediator,outcome,seg,deaths
Fibre (low),Direct,IHD,Unreachable (no pathway),332955.84505916736
Fruits (low),SBP,IHD,Offset by GLP-1 (affordable coverage),14557.687280216507
Fruits (low),SBP,IHD,"Pathway open, flow insufficient",27761.1710925059
Fruits (low),LDL,IHD,Offset by GLP-1 (affordable coverage),3470.1463865632377
Fruits (low),LDL,IHD,"Pathway open, flow insufficient",38848.71198615917
Fruits (low),Direct,IHD,Unreachable (no pathway),566421.6428349
Legumes (low),Direct,IHD,Unreachable (no pathway),592882.3840516381
Nuts & seeds (low),LDL,IHD,Offset by GLP-1 (affordable coverage),14210.115133330226
Nuts & seeds (low),LDL,IHD,"Pathway open, flow insufficient",159083.97185850178
Nuts & seeds (low),Direct,IHD,Unreachable (no pathway),710859.4180685354
Omega-6 PUFA (low),LDL,IHD,Offset by GLP-1 (affordable coverage),85.71873286000141
Omega-6 PUFA (low),LDL,IHD,"Pathway open, flow insufficient",959.631667871723
Omega-6 PUFA (low),Direct,IHD,Unreachable (no pathway),521629.8499651305
Processed meat (high),FPG,IHD,Offset by GLP-1 (affordable coverage),1230.8109388583705
Processed meat (high),Direct,IHD,Unreachable (no pathway),121850.28294697868
Red meat (high),Direct,IHD,Unreachable (no pathway),181392.4859486271
Seafood omega-3 (low),Direct,IHD,Unreachable (no pathway),521322.9808862202
Sodium (high),SBP,IHD,Offset by GLP-1 (affordable coverage),221341.60457213782
Sodium (high),SBP,IHD,"Pathway open, flow insufficient",422093.2924398908
SSB (high),Direct,IHD,Unreachable (no pathway),67026.17760379172
Trans fat (high),LDL,IHD,Offset by GLP-1 (affordable coverage),4782.369789685359
Trans fat (high),LDL,IHD,"Pathway open, flow insufficient",53539.21301135561
Trans fat (high),Direct,IHD,Unreachable (no pathway),330488.9692058988
Vegetables (low),FPG,IHD,Offset by GLP-1 (affordable coverage),16912.356934208623
Vegetables (low),SBP,IHD,Offset by GLP-1 (affordable coverage),3786.220352382197
Vegetables (low),SBP,IHD,"Pathway open, flow insufficient",7220.234160356748
Vegetables (low),LDL,IHD,Offset by GLP-1 (affordable coverage),902.5292700445935
Vegetables (low),LDL,IHD,"Pathway open, flow insufficient",10103.925242694351
Vegetables (low),Direct,IHD,Unreachable (no pathway),229524.844107117
Whole grains (low),LDL,IHD,Offset by GLP-1 (affordable coverage),26033.609508288973
Whole grains (low),LDL,IHD,"Pathway open, flow insufficient",291449.4332757229
Whole grains (low),Direct,IHD,Unreachable (no pathway),507148.2371744605
Fibre (low),Direct,Ischaemic stroke,Unreachable (no pathway),20105.819888544505
Fruits (low),FPG,Ischaemic stroke,Offset by GLP-1 (affordable coverage),2076.703318989169
Fruits (low),FPG,Ischaemic stroke,"Pathway open, flow insufficient",1790.5281875083524
Fruits (low),SBP,Ischaemic stroke,Offset by GLP-1 (affordable coverage),1651.3078532744416
Fruits (low),SBP,Ischaemic stroke,"Pathway open, flow insufficient",2215.92365322308
Fruits (low),LDL,Ischaemic stroke,Offset by GLP-1 (affordable coverage),3507.578976393252
Fruits (low),LDL,Ischaemic stroke,"Pathway open, flow insufficient",359.6525301042694
Fruits (low),Direct,Ischaemic stroke,Unreachable (no pathway),65742.93561045786
Omega-6 PUFA (low),LDL,Ischaemic stroke,Offset by GLP-1 (affordable coverage),457.36993562205635
Omega-6 PUFA (low),LDL,Ischaemic stroke,"Pathway open, flow insufficient",46.89680707039827
Processed meat (high),FPG,Ischaemic stroke,Offset by GLP-1 (affordable coverage),8598.557487254437
Processed meat (high),FPG,Ischaemic stroke,"Pathway open, flow insufficient",7413.653848414904
Sodium (high),SBP,Ischaemic stroke,Offset by GLP-1 (affordable coverage),117922.66854676699
Sodium (high),SBP,Ischaemic stroke,"Pathway open, flow insufficient",158242.83156275758
SSB (high),FPG,Ischaemic stroke,Offset by GLP-1 (affordable coverage),4120.922209733026
SSB (high),FPG,Ischaemic stroke,"Pathway open, flow insufficient",3553.048385672981
Vegetables (low),FPG,Ischaemic stroke,Offset by GLP-1 (affordable coverage),2305.110014076053
Vegetables (low),FPG,Ischaemic stroke,"Pathway open, flow insufficient",1987.4598445385707
Vegetables (low),SBP,Ischaemic stroke,Offset by GLP-1 (affordable coverage),596.2534686743131
Vegetables (low),SBP,Ischaemic stroke,"Pathway open, flow insufficient",800.1246781039378
Vegetables (low),LDL,Ischaemic stroke,Offset by GLP-1 (affordable coverage),4080.992710523148
Vegetables (low),LDL,Ischaemic stroke,"Pathway open, flow insufficient",418.44798465121573
Vegetables (low),Direct,Ischaemic stroke,Unreachable (no pathway),41529.32043936798
Whole grains (low),LDL,Ischaemic stroke,Offset by GLP-1 (affordable coverage),10780.945019962408
Whole grains (low),LDL,Ischaemic stroke,"Pathway open, flow insufficient",1105.4331718373799
Whole grains (low),Direct,Ischaemic stroke,Unreachable (no pathway),60152.2775160777
Fibre (low),Direct,ICH,Unreachable (no pathway),65523.82624220272
Fruits (low),SBP,ICH,Offset by GLP-1 (affordable coverage),1956.6567079149793
Fruits (low),SBP,ICH,"Pathway open, flow insufficient",3936.887593033753
Fruits (low),Direct,ICH,Unreachable (no pathway),239670.8015719151
Sodium (high),SBP,ICH,Offset by GLP-1 (affordable coverage),110660.38096518896
Sodium (high),SBP,ICH,"Pathway open, flow insufficient",222654.0195323681
Vegetables (low),FPG,ICH,Offset by GLP-1 (affordable coverage),4175.5909985754615
Vegetables (low),SBP,ICH,Offset by GLP-1 (affordable coverage),601.2851037948664
Vegetables (low),SBP,ICH,"Pathway open, flow insufficient",1209.8146064306345
Vegetables (low),Direct,ICH,Unreachable (no pathway),44321.634575240736
Fibre (low),Direct,SAH,Unreachable (no pathway),8663.40094318283
Fruits (low),SBP,SAH,Offset by GLP-1 (affordable coverage),249.94562860662487
Fruits (low),SBP,SAH,"Pathway open, flow insufficient",431.10513053949194
Fruits (low),Direct,SAH,Unreachable (no pathway),27696.064205275416
Sodium (high),SBP,SAH,Offset by GLP-1 (affordable coverage),12399.572656168633
Sodium (high),SBP,SAH,"Pathway open, flow insufficient",21386.728859277235
Vegetables (low),SBP,SAH,Offset by GLP-1 (affordable coverage),69.64045922718687
Vegetables (low),SBP,SAH,"Pathway open, flow insufficient",120.11556046542039
Vegetables (low),Direct,SAH,Unreachable (no pathway),5081.244527324261
Fibre (low),Direct,Type 2 diabetes,Unreachable (no pathway),15297.15042528731
Fruits (low),FPG,Type 2 diabetes,Offset by GLP-1 (affordable coverage),16405.337146586895
Fruits (low),FPG,Type 2 diabetes,"Pathway open, flow insufficient",95959.98577524116
Processed meat (high),FPG,Type 2 diabetes,Offset by GLP-1 (affordable coverage),12953.771097881376
Processed meat (high),FPG,Type 2 diabetes,"Pathway open, flow insufficient",75770.68847664859
Red meat (high),FPG,Type 2 diabetes,Offset by GLP-1 (affordable coverage),10374.01487207301
Red meat (high),FPG,Type 2 diabetes,"Pathway open, flow insufficient",60680.88151198871
SSB (high),FPG,Type 2 diabetes,Offset by GLP-1 (affordable coverage),10763.330388662662
SSB (high),FPG,Type 2 diabetes,"Pathway open, flow insufficient",62958.11062957475
Vegetables (low),FPG,Type 2 diabetes,Offset by GLP-1 (affordable coverage),3300.13562852896
Vegetables (low),FPG,Type 2 diabetes,"Pathway open, flow insufficient",19303.53306002556
Whole grains (low),FPG,Type 2 diabetes,Offset by GLP-1 (affordable coverage),11823.975800336484
Whole grains (low),FPG,Type 2 diabetes,"Pathway open, flow insufficient",69162.15981840657
Fruits (low),FPG,CKD,Offset by GLP-1 (affordable coverage),858.2204266951978
Fruits (low),FPG,CKD,"Pathway open, flow insufficient",17021.37179612142
Fruits (low),SBP,CKD,Offset by GLP-1 (affordable coverage),8745.962386449695
Fruits (low),SBP,CKD,"Pathway open, flow insufficient",91782.34090607554
Processed meat (high),FPG,CKD,Offset by GLP-1 (affordable coverage),829.6341725860799
Processed meat (high),FPG,CKD,"Pathway open, flow insufficient",16454.411089623918
Red meat (high),FPG,CKD,Offset by GLP-1 (affordable coverage),814.4659707874198
Red meat (high),FPG,CKD,"Pathway open, flow insufficient",16153.575087283825
Sodium (high),SBP,CKD,Offset by GLP-1 (affordable coverage),4971.8032014127775
Sodium (high),SBP,CKD,"Pathway open, flow insufficient",52175.36003321686
SSB (high),FPG,CKD,Offset by GLP-1 (affordable coverage),491.46526493904
SSB (high),FPG,CKD,"Pathway open, flow insufficient",9747.39442129096
Vegetables (low),FPG,CKD,Offset by GLP-1 (affordable coverage),272.9289900802283
Vegetables (low),FPG,CKD,"Pathway open, flow insufficient",5413.0916365911935
Vegetables (low),SBP,CKD,Offset by GLP-1 (affordable coverage),8499.567014941655
Vegetables (low),SBP,CKD,"Pathway open, flow insufficient",89196.6055705946
Whole grains (low),FPG,CKD,Offset by GLP-1 (affordable coverage),998.3974374187998
Whole grains (low),FPG,CKD,"Pathway open, flow insufficient",19801.54917547286
