factor,mediator,outcome,seg,deaths
Fibre (low),Direct,IHD,Unreachable (no pathway),332955.84505916736
Fruits (low),SBP,IHD,Offset by GLP-1 (50% coverage),36394.218200541276
Fruits (low),SBP,IHD,"Pathway open, flow insufficient",5924.640172181138
Fruits (low),LDL,IHD,Offset by GLP-1 (50% coverage),8633.047108035371
Fruits (low),LDL,IHD,"Pathway open, flow insufficient",33685.81126468704
Fruits (low),Direct,IHD,Unreachable (no pathway),566421.6428349
Legumes (low),Direct,IHD,Unreachable (no pathway),592882.3840516381
Nuts & seeds (low),LDL,IHD,Offset by GLP-1 (50% coverage),35351.99374633373
Nuts & seeds (low),LDL,IHD,"Pathway open, flow insufficient",137942.09324549828
Nuts & seeds (low),Direct,IHD,Unreachable (no pathway),710859.4180685354
Omega-6 PUFA (low),LDL,IHD,Offset by GLP-1 (50% coverage),213.25148174927176
Omega-6 PUFA (low),LDL,IHD,"Pathway open, flow insufficient",832.0989189824527
Omega-6 PUFA (low),Direct,IHD,Unreachable (no pathway),521629.8499651305
Processed meat (high),FPG,IHD,Offset by GLP-1 (50% coverage),1230.8109388583705
Processed meat (high),Direct,IHD,Unreachable (no pathway),121850.28294697868
Red meat (high),Direct,IHD,Unreachable (no pathway),181392.4859486271
Seafood omega-3 (low),Direct,IHD,Unreachable (no pathway),521322.9808862202
Sodium (high),SBP,IHD,Offset by GLP-1 (50% coverage),553354.0114303445
Sodium (high),SBP,IHD,"Pathway open, flow insufficient",90080.88558168401
SSB (high),Direct,IHD,Unreachable (no pathway),67026.17760379172
Trans fat (high),LDL,IHD,Offset by GLP-1 (50% coverage),11897.602891412356
Trans fat (high),LDL,IHD,"Pathway open, flow insufficient",46423.979909628615
Trans fat (high),Direct,IHD,Unreachable (no pathway),330488.9692058988
Vegetables (low),FPG,IHD,Offset by GLP-1 (50% coverage),16912.356934208623
Vegetables (low),SBP,IHD,Offset by GLP-1 (50% coverage),9465.550880955492
Vegetables (low),SBP,IHD,"Pathway open, flow insufficient",1540.9036317834525
Vegetables (low),LDL,IHD,Offset by GLP-1 (50% coverage),2245.3167205987447
Vegetables (low),LDL,IHD,"Pathway open, flow insufficient",8761.1377921402
Vegetables (low),Direct,IHD,Unreachable (no pathway),229524.844107117
Whole grains (low),LDL,IHD,Offset by GLP-1 (50% coverage),64766.540727938416
Whole grains (low),LDL,IHD,"Pathway open, flow insufficient",252716.50205607346
Whole grains (low),Direct,IHD,Unreachable (no pathway),507148.2371744605
Fibre (low),Direct,Ischaemic stroke,Unreachable (no pathway),20105.819888544505
Fruits (low),FPG,Ischaemic stroke,Offset by GLP-1 (50% coverage),3867.2315064975214
Fruits (low),SBP,Ischaemic stroke,Offset by GLP-1 (50% coverage),3867.2315064975214
Fruits (low),LDL,Ischaemic stroke,Offset by GLP-1 (50% coverage),3867.2315064975214
Fruits (low),Direct,Ischaemic stroke,Unreachable (no pathway),65742.93561045786
Omega-6 PUFA (low),LDL,Ischaemic stroke,Offset by GLP-1 (50% coverage),504.2667426924546
Processed meat (high),FPG,Ischaemic stroke,Offset by GLP-1 (50% coverage),16012.21133566934
Sodium (high),SBP,Ischaemic stroke,Offset by GLP-1 (50% coverage),276165.5001095246
SSB (high),FPG,Ischaemic stroke,Offset by GLP-1 (50% coverage),7673.970595406007
Vegetables (low),FPG,Ischaemic stroke,Offset by GLP-1 (50% coverage),4292.569858614624
Vegetables (low),SBP,Ischaemic stroke,Offset by GLP-1 (50% coverage),1396.378146778251
Vegetables (low),LDL,Ischaemic stroke,Offset by GLP-1 (50% coverage),4499.440695174364
Vegetables (low),Direct,Ischaemic stroke,Unreachable (no pathway),41529.32043936798
Whole grains (low),LDL,Ischaemic stroke,Offset by GLP-1 (50% coverage),11886.378191799788
Whole grains (low),Direct,Ischaemic stroke,Unreachable (no pathway),60152.2775160777
Fibre (low),Direct,ICH,Unreachable (no pathway),65523.82624220272
Fruits (low),SBP,ICH,Offset by GLP-1 (50% coverage),4897.535314088396
Fruits (low),SBP,ICH,"Pathway open, flow insufficient",996.008986860336
Fruits (low),Direct,ICH,Unreachable (no pathway),239670.8015719151
Sodium (high),SBP,ICH,Offset by GLP-1 (50% coverage),276984.26681346993
Sodium (high),SBP,ICH,"Pathway open, flow insufficient",56330.13368408716
Vegetables (low),FPG,ICH,Offset by GLP-1 (50% coverage),4175.5909985754615
Vegetables (low),SBP,ICH,Offset by GLP-1 (50% coverage),1505.0238591973912
Vegetables (low),SBP,ICH,"Pathway open, flow insufficient",306.07585102810975
Vegetables (low),Direct,ICH,Unreachable (no pathway),44321.634575240736
Fibre (low),Direct,SAH,Unreachable (no pathway),8663.40094318283
Fruits (low),SBP,SAH,Offset by GLP-1 (50% coverage),625.2045968961352
Fruits (low),SBP,SAH,"Pathway open, flow insufficient",55.846162249981546
Fruits (low),Direct,SAH,Unreachable (no pathway),27696.064205275416
Sodium (high),SBP,SAH,Offset by GLP-1 (50% coverage),31015.82479117931
Sodium (high),SBP,SAH,"Pathway open, flow insufficient",2770.47672426656
Vegetables (low),SBP,SAH,Offset by GLP-1 (50% coverage),174.19602607781346
Vegetables (low),SBP,SAH,"Pathway open, flow insufficient",15.559993614793788
Vegetables (low),Direct,SAH,Unreachable (no pathway),5081.244527324261
Fibre (low),Direct,Type 2 diabetes,Unreachable (no pathway),15297.15042528731
Fruits (low),FPG,Type 2 diabetes,Offset by GLP-1 (50% coverage),16405.337146586895
Fruits (low),FPG,Type 2 diabetes,"Pathway open, flow insufficient",95959.98577524116
Processed meat (high),FPG,Type 2 diabetes,Offset by GLP-1 (50% coverage),12953.771097881376
Processed meat (high),FPG,Type 2 diabetes,"Pathway open, flow insufficient",75770.68847664859
Red meat (high),FPG,Type 2 diabetes,Offset by GLP-1 (50% coverage),10374.01487207301
Red meat (high),FPG,Type 2 diabetes,"Pathway open, flow insufficient",60680.88151198871
SSB (high),FPG,Type 2 diabetes,Offset by GLP-1 (50% coverage),10763.330388662662
SSB (high),FPG,Type 2 diabetes,"Pathway open, flow insufficient",62958.11062957475
Vegetables (low),FPG,Type 2 diabetes,Offset by GLP-1 (50% coverage),3300.13562852896
Vegetables (low),FPG,Type 2 diabetes,"Pathway open, flow insufficient",19303.53306002556
Whole grains (low),FPG,Type 2 diabetes,Offset by GLP-1 (50% coverage),11823.975800336484
Whole grains (low),FPG,Type 2 diabetes,"Pathway open, flow insufficient",69162.15981840657
Fruits (low),FPG,CKD,Offset by GLP-1 (50% coverage),858.2204266951978
Fruits (low),FPG,CKD,"Pathway open, flow insufficient",17021.37179612142
Fruits (low),SBP,CKD,Offset by GLP-1 (50% coverage),8745.962386449695
Fruits (low),SBP,CKD,"Pathway open, flow insufficient",91782.34090607554
Processed meat (high),FPG,CKD,Offset by GLP-1 (50% coverage),829.6341725860799
Processed meat (high),FPG,CKD,"Pathway open, flow insufficient",16454.411089623918
Red meat (high),FPG,CKD,Offset by GLP-1 (50% coverage),814.4659707874198
Red meat (high),FPG,CKD,"Pathway open, flow insufficient",16153.575087283825
Sodium (high),SBP,CKD,Offset by GLP-1 (50% coverage),4971.8032014127775
Sodium (high),SBP,CKD,"Pathway open, flow insufficient",52175.36003321686
SSB (high),FPG,CKD,Offset by GLP-1 (50% coverage),491.46526493904
SSB (high),FPG,CKD,"Pathway open, flow insufficient",9747.39442129096
Vegetables (low),FPG,CKD,Offset by GLP-1 (50% coverage),272.9289900802283
Vegetables (low),FPG,CKD,"Pathway open, flow insufficient",5413.0916365911935
Vegetables (low),SBP,CKD,Offset by GLP-1 (50% coverage),8499.567014941655
Vegetables (low),SBP,CKD,"Pathway open, flow insufficient",89196.6055705946
Whole grains (low),FPG,CKD,Offset by GLP-1 (50% coverage),998.3974374187998
Whole grains (low),FPG,CKD,"Pathway open, flow insufficient",19801.54917547286
