Country,Outcome,Coverage,Mediator,Diet-attributable increase,GLP-1 reduction,Offset ratio
AUS,CKD,20%,SBP,0.0,0.0,0.087
AUS,CKD,20%,FPG,0.0,0.0,0.048
AUS,CKD,20%,LDL,0.0,0.0,0.0
AUS,ICH,20%,SBP,0.5739,1.02,1.0
AUS,ICH,20%,FPG,0.0054,0.0874,1.0
AUS,ICH,20%,LDL,0.0,0.0279,0.0
AUS,IHD,20%,SBP,0.8506,1.02,1.0
AUS,IHD,20%,FPG,0.0789,0.0874,1.0
AUS,IHD,20%,LDL,0.3118,0.0279,0.09
AUS,IschStroke,20%,SBP,0.4823,1.02,1.0
AUS,IschStroke,20%,FPG,0.1745,0.0874,0.501
AUS,IschStroke,20%,LDL,0.0162,0.0279,1.0
AUS,SAH,20%,SBP,0.6579,1.02,1.0
AUS,SAH,20%,FPG,0.0,0.0874,0.0
AUS,SAH,20%,LDL,0.0,0.0279,0.0
AUS,T2D,20%,SBP,0.0,0.0,0.0
AUS,T2D,20%,FPG,0.0,0.0,0.146
AUS,T2D,20%,LDL,0.0,0.0,0.0
BGD,CKD,20%,SBP,0.0,0.0,0.07
BGD,CKD,20%,FPG,0.0,0.0,0.048
BGD,CKD,20%,LDL,0.0,0.0,0.0
BGD,ICH,20%,SBP,1.7299,1.02,0.59
BGD,ICH,20%,FPG,0.0748,0.0874,1.0
BGD,ICH,20%,LDL,0.0,0.0221,0.0
BGD,IHD,20%,SBP,2.4139,1.02,0.423
BGD,IHD,20%,FPG,0.13,0.0874,0.672
BGD,IHD,20%,LDL,0.5531,0.0221,0.04
BGD,IschStroke,20%,SBP,1.6876,1.02,0.604
BGD,IschStroke,20%,FPG,0.1337,0.0874,0.653
BGD,IschStroke,20%,LDL,0.0589,0.0221,0.375
BGD,SAH,20%,SBP,1.6559,1.02,0.616
BGD,SAH,20%,FPG,0.0,0.0874,0.0
BGD,SAH,20%,LDL,0.0,0.0221,0.0
BGD,T2D,20%,SBP,0.0,0.0,0.0
BGD,T2D,20%,FPG,0.0,0.0,0.146
