outcome,iso3,edu,paf
CKD,AUS,1,0.37
CKD,AUS,2,0.39
CKD,AUS,3,0.4
CKD,BGD,1,1.58
CKD,BGD,2,1.21
CKD,BGD,3,0.2
CKD,BGR,1,7.98
CKD,BGR,2,7.04
CKD,BGR,3,5.37
CKD,BRA,1,1.68
CKD,BRA,2,1.12
CKD,BRA,3,0.61
CKD,CAN,1,1.13
CKD,CAN,2,1.2
CKD,CAN,3,1.21
CKD,CHN,1,6.69
CKD,CHN,2,6.97
CKD,CHN,3,6.5
CKD,DEU,1,1.23
CKD,DEU,2,1.3
CKD,DEU,3,1.31
CKD,EGY,1,0.64
CKD,EGY,2,0.77
CKD,EGY,3,0.74
CKD,GBR,1,0.4
CKD,GBR,2,0.44
CKD,GBR,3,0.45
CKD,GLB,1,2.73
CKD,GLB,2,2.73
CKD,GLB,3,2.73
CKD,IND,1,1.78
CKD,IND,2,1.47
CKD,IND,3,0.63
CKD,ISR,1,0.4
CKD,ISR,2,0.51
CKD,ISR,3,0.49
CKD,JPN,1,2.56
CKD,JPN,2,2.77
CKD,JPN,3,2.42
CKD,MEX,1,1.19
CKD,MEX,2,0.8
CKD,MEX,3,0.42
CKD,NGA,1,0.0
CKD,NGA,2,0.0
CKD,NGA,3,0.0
CKD,NZL,1,0.46
CKD,NZL,2,0.5
CKD,NZL,3,0.51
CKD,ROU,1,8.12
CKD,ROU,2,7.19
CKD,ROU,3,5.49
CKD,TUR,1,0.58
CKD,TUR,2,0.68
CKD,TUR,3,0.66
CKD,USA,1,0.71
CKD,USA,2,0.76
CKD,USA,3,0.77
CKD,ZAF,1,0.04
CKD,ZAF,2,0.04
CKD,ZAF,3,0.04
IHD,AUS,1,65.81
IHD,AUS,2,66.06
IHD,AUS,3,63.57
IHD,BGD,1,77.67
IHD,BGD,2,76.59
IHD,BGD,3,74.35
IHD,BGR,1,70.36
IHD,BGR,2,69.23
IHD,BGR,3,66.68
IHD,BRA,1,64.38
IHD,BRA,2,62.11
IHD,BRA,3,56.38
IHD,CAN,1,60.42
IHD,CAN,2,60.4
IHD,CAN,3,57.67
IHD,CHN,1,65.82
IHD,CHN,2,64.55
IHD,CHN,3,62.48
IHD,DEU,1,65.15
IHD,DEU,2,65.04
IHD,DEU,3,62.36
IHD,EGY,1,56.42
IHD,EGY,2,55.64
IHD,EGY,3,54.51
IHD,GBR,1,65.93
IHD,GBR,2,66.27
IHD,GBR,3,63.8
IHD,GLB,1,61.99
IHD,GLB,2,61.99
IHD,GLB,3,61.99
IHD,IND,1,65.15
IHD,IND,2,63.98
IHD,IND,3,60.99
IHD,ISR,1,57.69
IHD,ISR,2,57.12
IHD,ISR,3,55.51
IHD,JPN,1,71.02
IHD,JPN,2,70.18
IHD,JPN,3,68.52
IHD,MEX,1,60.15
IHD,MEX,2,57.98
IHD,MEX,3,53.43
IHD,NGA,1,56.15
IHD,NGA,2,53.35
IHD,NGA,3,49.1
IHD,NZL,1,63.45
IHD,NZL,2,63.7
IHD,NZL,3,61.15
IHD,ROU,1,68.04
IHD,ROU,2,66.78
IHD,ROU,3,64.06
IHD,TUR,1,50.53
IHD,TUR,2,49.81
IHD,TUR,3,48.54
IHD,USA,1,63.35
IHD,USA,2,63.67
IHD,USA,3,60.81
IHD,ZAF,1,68.22
IHD,ZAF,2,67.18
IHD,ZAF,3,64.54
IschStroke,AUS,1,19.23
IschStroke,AUS,2,19.49
IschStroke,AUS,3,17.66
IschStroke,BGD,1,37.96
IschStroke,BGD,2,34.72
IschStroke,BGD,3,30.34
IschStroke,BGR,1,27.84
IschStroke,BGR,2,25.91
IschStroke,BGR,3,22.18
IschStroke,BRA,1,21.14
IschStroke,BRA,2,18.71
IschStroke,BRA,3,13.57
IschStroke,CAN,1,17.09
IschStroke,CAN,2,17.19
IschStroke,CAN,3,15.32
IschStroke,CHN,1,26.87
IschStroke,CHN,2,26.17
IschStroke,CHN,3,24.45
IschStroke,DEU,1,17.17
IschStroke,DEU,2,17.33
IschStroke,DEU,3,15.4
IschStroke,EGY,1,8.57
IschStroke,EGY,2,8.11
IschStroke,EGY,3,7.39
IschStroke,GBR,1,16.78
IschStroke,GBR,2,16.93
IschStroke,GBR,3,15.0
IschStroke,GLB,1,18.15
IschStroke,GLB,2,18.15
IschStroke,GLB,3,18.15
IschStroke,IND,1,27.72
IschStroke,IND,2,24.4
IschStroke,IND,3,19.78
IschStroke,ISR,1,12.31
IschStroke,ISR,2,11.85
IschStroke,ISR,3,10.93
IschStroke,JPN,1,27.05
IschStroke,JPN,2,25.56
IschStroke,JPN,3,23.32
IschStroke,MEX,1,13.64
IschStroke,MEX,2,11.5
IschStroke,MEX,3,8.03
IschStroke,NGA,1,14.17
IschStroke,NGA,2,12.13
IschStroke,NGA,3,9.56
IschStroke,NZL,1,17.2
IschStroke,NZL,2,17.37
IschStroke,NZL,3,15.45
IschStroke,ROU,1,23.85
IschStroke,ROU,2,21.76
IschStroke,ROU,3,17.64
IschStroke,TUR,1,8.03
IschStroke,TUR,2,7.51
IschStroke,TUR,3,6.87
IschStroke,USA,1,16.73
IschStroke,USA,2,16.91
IschStroke,USA,3,15.04
IschStroke,ZAF,1,24.45
IschStroke,ZAF,2,21.79
IschStroke,ZAF,3,17.61
T2D,AUS,1,34.99
T2D,AUS,2,35.65
T2D,AUS,3,32.02
T2D,BGD,1,35.41
T2D,BGD,2,34.09
T2D,BGD,3,31.8
T2D,BGR,1,29.97
T2D,BGR,2,29.13
T2D,BGR,3,26.32
T2D,BRA,1,23.15
T2D,BRA,2,21.7
T2D,BRA,3,17.56
T2D,CAN,1,31.62
T2D,CAN,2,32.29
T2D,CAN,3,28.74
T2D,CHN,1,19.2
T2D,CHN,2,18.46
T2D,CHN,3,17.78
T2D,DEU,1,34.14
T2D,DEU,2,34.89
T2D,DEU,3,31.39
T2D,EGY,1,11.41
T2D,EGY,2,11.26
T2D,EGY,3,10.2
T2D,GBR,1,35.14
T2D,GBR,2,35.87
T2D,GBR,3,32.35
T2D,GLB,1,22.04
T2D,GLB,2,22.04
T2D,GLB,3,22.04
T2D,IND,1,17.75
T2D,IND,2,17.93
T2D,IND,3,17.59
T2D,ISR,1,24.74
T2D,ISR,2,24.87
T2D,ISR,3,23.22
T2D,JPN,1,32.86
T2D,JPN,2,33.3
T2D,JPN,3,33.31
T2D,MEX,1,20.95
T2D,MEX,2,20.46
T2D,MEX,3,19.51
T2D,NGA,1,14.68
T2D,NGA,2,13.8
T2D,NGA,3,11.47
T2D,NZL,1,30.21
T2D,NZL,2,30.84
T2D,NZL,3,27.28
T2D,ROU,1,28.41
T2D,ROU,2,27.6
T2D,ROU,3,24.79
T2D,TUR,1,14.23
T2D,TUR,2,14.3
T2D,TUR,3,12.99
T2D,USA,1,39.96
T2D,USA,2,40.65
T2D,USA,3,36.98
T2D,ZAF,1,21.72
T2D,ZAF,2,22.46
T2D,ZAF,3,20.77
