outcome,iso3,urban,paf
IHD,AUS,0,64.51
IHD,AUS,1,65.44
IHD,BGD,0,77.17
IHD,BGD,1,75.23
IHD,BGR,0,68.47
IHD,BGR,1,68.89
IHD,BRA,0,61.72
IHD,BRA,1,60.18
IHD,CAN,0,58.91
IHD,CAN,1,59.63
IHD,CHN,0,65.07
IHD,CHN,1,63.41
IHD,DEU,0,63.65
IHD,DEU,1,64.49
IHD,EGY,0,56.32
IHD,EGY,1,55.01
IHD,GBR,0,64.81
IHD,GBR,1,65.6
IHD,GLB,0,61.99
IHD,GLB,1,61.99
IHD,IND,0,65.56
IHD,IND,1,61.52
IHD,ISR,0,58.27
IHD,ISR,1,55.68
IHD,JPN,0,70.48
IHD,JPN,1,69.32
IHD,MEX,0,57.91
IHD,MEX,1,56.34
IHD,NGA,0,54.29
IHD,NGA,1,51.13
IHD,NZL,0,62.14
IHD,NZL,1,63.03
IHD,ROU,0,66.01
IHD,ROU,1,66.43
IHD,TUR,0,50.5
IHD,TUR,1,49.03
IHD,USA,0,62.12
IHD,USA,1,62.74
IHD,ZAF,0,67.25
IHD,ZAF,1,65.91
IschStroke,AUS,0,18.69
IschStroke,AUS,1,18.86
IschStroke,BGD,0,35.31
IschStroke,BGD,1,33.01
IschStroke,BGR,0,24.2
IschStroke,BGR,1,26.29
IschStroke,BRA,0,18.03
IschStroke,BRA,1,17.55
IschStroke,CAN,0,16.68
IschStroke,CAN,1,16.3
IschStroke,CHN,0,26.29
IschStroke,CHN,1,25.15
IschStroke,DEU,0,16.74
IschStroke,DEU,1,16.44
IschStroke,EGY,0,8.05
IschStroke,EGY,1,8.34
IschStroke,GBR,0,16.2
IschStroke,GBR,1,16.21
IschStroke,GLB,0,18.15
IschStroke,GLB,1,18.15
IschStroke,IND,0,25.68
IschStroke,IND,1,22.27
IschStroke,ISR,0,12.16
IschStroke,ISR,1,11.78
IschStroke,JPN,0,25.87
IschStroke,JPN,1,24.47
IschStroke,MEX,0,11.2
IschStroke,MEX,1,10.8
IschStroke,NGA,0,12.17
IschStroke,NGA,1,11.19
IschStroke,NZL,0,16.66
IschStroke,NZL,1,16.64
IschStroke,ROU,0,20.02
IschStroke,ROU,1,22.02
IschStroke,TUR,0,7.59
IschStroke,TUR,1,7.6
IschStroke,USA,0,16.31
IschStroke,USA,1,16.08
IschStroke,ZAF,0,21.99
IschStroke,ZAF,1,20.16
