outcome,iso3,med,lo,hi
CKD,AUS,0.991,0.187,4.237
CKD,BGD,4.443,0.928,
CKD,BGR,1.431,1.047,1.973
CKD,BRA,2.13,1.111,13.03
CKD,CAN,0.938,0.641,1.331
CKD,CHN,1.047,0.843,1.234
CKD,DEU,0.963,0.711,1.284
CKD,EGY,1.073,0.0,
CKD,GBR,0.917,0.311,1.798
CKD,GLB,1.0,1.0,1.0
CKD,IND,2.451,1.036,7.062
CKD,ISR,0.842,0.252,2.166
CKD,JPN,1.058,0.817,1.404
CKD,MEX,2.689,1.286,38.847
CKD,NGA,0.789,0.0,
CKD,NZL,0.893,0.172,5.998
CKD,ROU,1.399,1.063,1.863
CKD,TUR,0.896,0.322,2.285
CKD,USA,0.919,0.723,1.194
CKD,ZAF,0.728,0.0,
IHD,AUS,1.039,1.005,1.076
IHD,BGD,1.048,0.949,1.188
IHD,BGR,1.06,1.017,1.11
IHD,BRA,1.142,1.088,1.196
IHD,CAN,1.047,1.019,1.071
IHD,CHN,1.053,1.014,1.085
IHD,DEU,1.043,1.024,1.064
IHD,EGY,1.026,0.813,1.358
IHD,GBR,1.034,1.012,1.064
IHD,GLB,1.0,1.0,1.0
IHD,IND,1.076,0.874,1.35
IHD,ISR,1.041,1.002,1.084
IHD,JPN,1.034,1.016,1.059
IHD,MEX,1.127,1.091,1.167
IHD,NGA,1.086,0.765,1.705
IHD,NZL,1.036,0.922,1.213
IHD,ROU,1.06,1.011,1.106
IHD,TUR,1.046,0.942,1.156
IHD,USA,1.04,1.026,1.054
IHD,ZAF,1.056,1.016,1.09
IschStroke,AUS,1.088,0.947,1.262
IschStroke,BGD,1.257,1.157,1.37
IschStroke,BGR,1.256,1.049,1.497
IschStroke,BRA,1.548,1.294,1.821
IschStroke,CAN,1.095,0.993,1.209
IschStroke,CHN,1.1,0.983,1.231
IschStroke,DEU,1.094,1.004,1.218
IschStroke,EGY,1.141,0.276,5.919
IschStroke,GBR,1.116,0.987,1.256
IschStroke,GLB,1.0,1.0,1.0
IschStroke,IND,1.421,1.235,1.614
IschStroke,ISR,1.094,0.91,1.354
IschStroke,JPN,1.153,1.073,1.264
IschStroke,MEX,1.765,1.411,2.34
IschStroke,NGA,1.313,0.583,3.151
IschStroke,NZL,1.086,0.803,1.482
IschStroke,ROU,1.317,1.071,1.584
IschStroke,TUR,1.158,0.71,1.914
IschStroke,USA,1.092,1.025,1.16
IschStroke,ZAF,1.381,1.22,1.528
T2D,AUS,1.094,1.004,1.18
T2D,BGD,1.113,1.012,1.257
T2D,BGR,1.123,0.977,1.311
T2D,BRA,1.279,1.102,1.475
T2D,CAN,1.093,1.027,1.16
T2D,CHN,1.064,0.922,1.232
T2D,DEU,1.084,1.027,1.15
T2D,EGY,1.05,0.237,5.419
T2D,GBR,1.084,1.011,1.155
T2D,GLB,1.0,1.0,1.0
T2D,IND,1.015,0.41,2.301
T2D,ISR,1.066,0.959,1.213
T2D,JPN,0.978,0.892,1.078
T2D,MEX,1.049,0.961,1.172
T2D,NGA,1.22,0.375,4.086
T2D,NZL,1.086,0.797,1.434
T2D,ROU,1.129,0.98,1.334
T2D,TUR,1.111,0.761,1.545
T2D,USA,1.075,1.04,1.104
T2D,ZAF,1.032,0.897,1.196
