iso3,sex,outcome,arm,averted_10yr,averted_yr1,averted_yr10,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11,yr12,yr13,yr14,yr15,yr16,yr17,yr18,yr19,yr20,yr21,yr22,yr23,yr24,yr25,yr26,yr27,yr28,yr29,yr30
CHN,Male,IHD,glp1,514737.82334377104,1735.2758940814529,19219.49394867383,1735.2758940814529,7337.943242185051,12023.424307886045,15635.329045330407,17408.092666602693,17973.208861975232,18020.892547521507,17912.18626211537,17792.024144992232,17708.495676741237,17672.024630977307,17679.864505489822,17725.498416219372,17801.962296340847,17902.806342267664,18022.198541413993,18154.78066736739,18295.516238760436,18439.60882732109,18582.497801485937,18719.90941975778,18847.933273906354,18963.096937475726,19062.419342903886,19143.43232395337,19204.16785206017,19243.114722300787,19259.152461851714,19251.472143812338,19219.49394867383
CHN,Male,IHD,diet,23134.97092886013,0.0,1369.213718006853,0.0,13.621829620795324,32.96600720938295,60.98376668780111,100.52849010657519,153.3640835240949,219.2039125226438,295.54514450463466,378.5002136474941,464.01351717696525,548.7484510333743,630.4143207292072,707.6918061545584,779.9901665337384,847.1887519690208,909.4278065874241,966.9623743626289,1020.0716079501435,1069.0098334064241,1113.986162618734,1155.1618891521357,1192.6576143549755,1226.5644546560943,1256.9556432922836,1283.89636854711,1307.4508321369067,1327.6863187928684,1344.6745945287403,1358.4912490465213,1369.213718006853
CHN,Male,IHD,combo,537478.0834197858,1735.2758940814529,20568.273715741,1735.2758940814529,7351.451466983417,12055.948077567155,15695.23108474072,17506.581886555534,18123.29198150523,18235.34553849767,18201.36620891886,18162.49928398733,18162.86774633662,18209.621837798273,18297.758343510097,18419.45155642205,18567.141939449823,18734.246439516777,18915.05805606977,19104.458894996904,19297.67898648465,19490.16614009277,19677.561158673605,19855.74588284758,20020.92622544989,20169.71752896346,20299.20914655784,20406.995546858758,20491.17044898402,20550.287513727322,20583.295653931098,20589.45923453616,20568.273715741
CHN,Female,IHD,glp1,460262.09967246954,1491.2333679797594,18985.4563520581,1491.2333679797594,6225.298259329051,10091.463766335859,13030.817330371821,14440.953439576318,14875.563741920865,14915.712667244254,14858.337217163644,14818.575823479332,14831.52624420647,14901.79358954914,15023.710264118738,15189.009171368903,15389.510234325659,15617.872603271971,15867.628461040207,16132.99276294047,16408.651930427644,16689.608864983078,16971.103394628037,17248.59964679717,17517.82013581856,17774.80369969108,18015.966920660343,18238.153756109066,18438.6640329645,18615.25706208148,18766.131228765473,18889.883703262545,18985.4563520581
CHN,Female,IHD,diet,21896.465573405032,0.0,1374.1566925779916,0.0,11.287649699603207,27.608043775544502,51.502039531013,85.44401553017087,131.03076607128605,188.18680190376472,255.01374024932738,328.447707318468,405.22904244449455,482.6117028244771,558.632581479731,632.0686477720737,702.2637949016644,768.9412790329661,832.049665476894,891.6522235425655,947.8546655504033,1000.762363282498,1050.458621477941,1096.9971317104064,1140.4032981661148,1180.6804603955243,1217.81813248666,1251.8002765066922,1282.612363975495,1310.2465702800546,1334.704902819125,1356.0003926220816,1374.1566925779916
CHN,Female,IHD,combo,481768.1180776735,1491.2333679797594,20337.645319730975,1491.2333679797594,6236.491771055036,10118.700299258111,13081.40060425084,14524.649489831529,15003.75924226956,15099.761427895282,15107.76123902155,15139.913654925418,15228.131520526367,15374.329408737132,15570.909741654876,15808.396836047526,16077.956198650529,16371.964626202942,16683.894000832108,17008.013037049677,17339.1051889963,17672.27155294316,18002.82974073873,18326.293556324905,18638.408108798787,18935.213626175886,19213.114789948566,19468.93837194424,19699.968596169725,19903.95582770207,20079.099236530717,20224.00769548118,20337.645319730975
IND,Male,IHD,glp1,480806.85007415013,1446.5473887119442,18801.598594312556,1446.5473887119442,6133.51682603755,10073.984484250774,13226.912503634114,14923.565947854659,15632.391232271912,15893.552574009751,15995.89074740617,16060.042362402077,16130.696039123693,16222.367299990496,16338.16432521143,16476.965046441182,16636.06743593095,16812.139765044674,17001.55028054281,17200.479571545962,17404.96358073596,17610.920057205018,17814.17623114935,18010.50285562896,18195.655357562704,18365.421390343457,18515.673628720222,18642.426482972456,18741.895293623675,18810.556438256754,18845.206644631457,18843.019688597415,18801.598594312556
IND,Male,IHD,diet,164143.9991875774,0.0,9380.529439517297,0.0,105.59620813187212,259.7754589834949,483.23738592513837,794.7773869355442,1203.635868672165,1703.196292137378,2271.290175904287,2877.47286304296,3492.0575111563085,4091.9270480978303,4662.098217128543,5194.614514981164,5686.541464813752,6138.07491119788,6551.109451419674,6928.2774201701395,7272.3561649618205,7585.931033422239,7871.224273044383,8130.0268207311165,8363.691613795934,8573.16233679885,8759.021584027214,8921.548771521077,9060.782019309234,9176.580534411827,9268.685355702415,9336.777061635861,9380.529439517297
IND,Male,IHD,combo,642161.5495102515,1446.5473887119442,28051.06937735062,1446.5473887119442,6238.232371380669,10330.254623178276,13701.496143819764,15701.99861850997,16809.795884238323,17558.965027248603,18216.911147732637,18874.63799355179,19547.846434724517,20228.407321220613,20904.683178584557,21567.651086887112,22211.614781894954,22833.318868160713,23430.885312127182,24002.987951996503,24548.315000345465,25065.263675936032,25551.797816036502,26005.412480490748,26423.166083702818,26801.75394076598,27137.606426064158,27427.000953010982,27666.18065116927,27851.474740440724,27979.41676569823,28046.857465271838,28051.06937735062
IND,Female,IHD,glp1,375706.89284058986,932.0464729145169,15106.979518135078,932.0464729145169,4095.402445602347,6877.800819633761,9225.316061198479,10609.606715307222,11308.521177589544,11683.959061480942,11935.321978488355,12146.667247873149,12348.988114805194,12552.231358499965,12758.601476428681,12967.627726863837,13177.97610186087,13388.041454621009,13596.105307095684,13800.353045215015,13998.856738610426,14189.559826095589,14370.274360017618,14538.692498333636,14692.410953630344,14828.966239947244,14945.87837557448,15040.700706054457,15111.073552635964,15154.77943692985,15169.797693225788,15154.35637592082,15106.979518135078
