iso3,outcome,factor,sex_name,age_name,paf,deaths_attr,deaths_lo,deaths_hi,glp1_channel,convergence
GLB,IHD,procmeat,Male,25-29 years,0.0201581209075951,362.7885708744945,-76.51121216472352,795.1350471237861,基本不汇流-结构近乎不可及,0.01
GLB,IHD,procmeat,Male,30-34 years,0.0229666592454714,862.4949936637881,-197.2196579436965,1952.6661979679589,基本不汇流-结构近乎不可及,0.01
GLB,IHD,procmeat,Male,35-39 years,0.0269059380164259,1722.8382356734676,-394.9445813971241,3841.6110244157694,基本不汇流-结构近乎不可及,0.01
GLB,IHD,procmeat,Male,40-44 years,0.0271708081889438,3014.912879289622,-714.4949513462151,6664.7624186815565,基本不汇流-结构近乎不可及,0.01
GLB,IHD,procmeat,Male,45-49 years,0.0270383054829668,4615.121526363362,-1091.6204804371023,10274.488644564182,基本不汇流-结构近乎不可及,0.01
GLB,IHD,procmeat,Male,50-54 years,0.0256731292015121,7037.955389666118,-1568.6143167288787,15383.058353876242,基本不汇流-结构近乎不可及,0.01
GLB,IHD,procmeat,Male,55-59 years,0.0227322732704085,8789.026428266745,-2019.760428446894,19285.89648102032,基本不汇流-结构近乎不可及,0.01
GLB,IHD,procmeat,Male,60-64 years,0.0209306459515666,10577.664006690502,-2421.406794107236,24025.77082448564,基本不汇流-结构近乎不可及,0.01
GLB,IHD,procmeat,Male,65-69 years,0.0170663608319895,10237.139699312063,-2663.8035258779264,24018.65346460128,基本不汇流-结构近乎不可及,0.01
GLB,IHD,procmeat,Male,70-74 years,0.0141304020719608,9038.754171928293,-2074.7850465560296,20824.6919193961,基本不汇流-结构近乎不可及,0.01
GLB,IHD,procmeat,Male,75-79 years,0.0123542434868789,7365.886953859698,-1965.077816130542,17489.21796344318,基本不汇流-结构近乎不可及,0.01
GLB,IHD,procmeat,Male,80-84 years,0.0101319084044442,6239.868892946248,-1333.0055067501803,15118.17674371077,基本不汇流-结构近乎不可及,0.01
GLB,IHD,procmeat,Male,85-89 years,0.0109772982876152,5732.907551216245,-1242.3443044815783,14041.534410680772,基本不汇流-结构近乎不可及,0.01
GLB,IHD,procmeat,Male,90-94 years,0.0125373663636921,3631.529051664448,-921.304255375022,8887.467626724392,基本不汇流-结构近乎不可及,0.01
GLB,IHD,procmeat,Male,95+ years,0.0136640696361033,1401.7722802236574,-376.6799338333683,3574.002663955576,基本不汇流-结构近乎不可及,0.01
