iso3,outcome,glp1_channel,conv_wt,deaths,deaths_lo,deaths_hi
AUS,CKD,完全汇流-结构可及,1.0,4.6283250609492175,1.5885870923870866,9.993110788134763
AUS,ICH,基本不汇流-结构近乎不可及,0.024,0.5005202946144041,-0.033897703805679635,1.055760699633318
AUS,ICH,完全汇流-结构可及,1.0,0.2205589553147869,0.00010133502195762827,1.1391094483123252
AUS,ICH,纯直接效应-结构不可及,0.0,-0.6228121702790546,-3.787193013226632,1.8678762702909262
AUS,ICH,部分汇流-结构小部可及,0.119,0.021907727412295,-0.0007112480905225239,0.12382541423536687
AUS,IHD,基本不汇流-结构近乎不可及,0.006,7.569628669575202,-15.214705536179514,27.340146461689375
AUS,IHD,完全汇流-结构可及,1.0,1.4420507733842558,0.0009660589770894155,7.015005568841971
AUS,IHD,纯直接效应-结构不可及,0.0,15.569136978592754,-2.0140075269133693,37.05541752068287
AUS,IHD,部分汇流-结构小部可及,0.2012,25.483504021928365,8.287732227603438,45.25443906251838
AUS,IschStroke,完全汇流-结构可及,1.0,0.563548746227462,0.0526415976136881,2.414952845814698
AUS,IschStroke,纯直接效应-结构不可及,0.0,0.245065677434373,-0.3155400859737727,1.1059997646247552
AUS,IschStroke,部分汇流-结构小部可及,0.1706666666666666,0.6812830661609413,-1.0244790581542094,2.533092173245534
AUS,SAH,基本不汇流-结构近乎不可及,0.0299999999999999,0.283967701065959,-0.020219425528593498,0.6128461842487353
AUS,SAH,完全汇流-结构可及,1.0,0.1128902890688353,6.815693275549867e-05,0.5234213190742824
AUS,SAH,纯直接效应-结构不可及,0.0,-0.391195309725277,-2.2700679814190297,1.0472877852359428
AUS,T2D,完全汇流-结构可及,1.0,7.130329386661393,1.5608315482687094,14.037979027683331
AUS,T2D,纯直接效应-结构不可及,0.0,0.1679896573004972,0.05810323752570801,0.31775973175655153
BGD,CKD,完全汇流-结构可及,1.0,7.576150541432737,2.2824578951152885,17.79451355080709
BGD,ICH,基本不汇流-结构近乎不可及,0.024,9.742601775050774,-0.5560632881457316,23.81524386954919
BGD,ICH,完全汇流-结构可及,1.0,6.46034319552879,0.005637703707520885,24.51579075723993
BGD,ICH,纯直接效应-结构不可及,0.0,7.667519378940722,-3.0897566052068375,20.972086202560355
BGD,ICH,部分汇流-结构小部可及,0.119,6.920444465825224,-0.4577982555630284,18.38751130111829
BGD,IHD,基本不汇流-结构近乎不可及,0.006,27.000378565014174,-72.94027862939454,110.65565381758368
BGD,IHD,完全汇流-结构可及,1.0,14.49900350347432,0.015299115983297895,50.828759646490255
BGD,IHD,纯直接效应-结构不可及,0.0,64.25837220362969,0.24744890965008745,146.21971541325271
BGD,IHD,部分汇流-结构小部可及,0.2012,152.02454169316374,51.17322708027857,285.297393601456
BGD,IschStroke,完全汇流-结构可及,1.0,6.742103491080465,0.044848628671729236,26.391276171476648
BGD,IschStroke,纯直接效应-结构不可及,0.0,2.7132049295571967,-2.0076165741583902,9.799119779493102
BGD,IschStroke,部分汇流-结构小部可及,0.1706666666666666,12.097281317872572,-9.763096820135628,41.33425186573674
BGD,SAH,基本不汇流-结构近乎不可及,0.0299999999999999,1.8383102589278413,-0.12893797233041507,5.221662591154893
BGD,SAH,完全汇流-结构可及,1.0,0.5791192116822937,6.804095078401173e-06,2.3730991128236143
BGD,SAH,纯直接效应-结构不可及,0.0,0.8536138949866184,-0.38722379231075604,2.6796681238906945
BGD,T2D,完全汇流-结构可及,1.0,16.762473519323166,2.1051149347772515,39.82024593335604
BGD,T2D,纯直接效应-结构不可及,0.0,1.4373903748243573,0.5943583117603699,2.8342874746568127
BGR,CKD,完全汇流-结构可及,1.0,7.908223318463939,2.093344053066194,16.877689813372996
BGR,ICH,基本不汇流-结构近乎不可及,0.024,3.2751234757936776,-0.19361104300902854,6.890346746276922
BGR,ICH,完全汇流-结构可及,1.0,8.300848429951914,2.012332193566911,16.549943981050337
BGR,ICH,纯直接效应-结构不可及,0.0,-1.9298525450736148,-12.570853966519921,8.187207184360393
BGR,ICH,部分汇流-结构小部可及,0.119,0.0092303803978394,-0.0001400678350264858,0.08936115627690522
BGR,IHD,基本不汇流-结构近乎不可及,0.006,14.53865894864568,-13.419962743726956,54.00839523628594
BGR,IHD,完全汇流-结构可及,1.0,44.30989169848561,10.731867571368259,86.15210343030652
BGR,IHD,纯直接效应-结构不可及,0.0,80.0655913600724,-7.749503095984912,178.39806861793363
BGR,IHD,部分汇流-结构小部可及,0.2012,84.35922756666311,26.074418452984624,147.34797695796067
