iso3,outcome,Not transmitted through a GLP-1 target,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets","Transmitted through a GLP-1 target, offset by 20% coverage"
AUS,ICH,74.9,0.0,25.1
AUS,IHD,84.7,11.5,3.8
AUS,IschStroke,51.6,11.4,36.9
AUS,SAH,76.2,0.0,23.8
BGD,ICH,77.2,19.2,3.5
BGD,IHD,80.4,18.7,0.9
BGD,IschStroke,62.9,31.9,5.1
BGD,SAH,82.6,14.8,2.6
BGR,ICH,32.3,59.3,8.4
BGR,IHD,70.7,26.4,2.9
BGR,IschStroke,16.8,69.9,13.3
BGR,SAH,36.7,55.0,8.3
BRA,ICH,57.2,27.8,15.1
BRA,IHD,77.1,18.9,4.0
BRA,IschStroke,40.7,37.2,22.0
BRA,SAH,64.8,21.7,13.4
CAN,ICH,49.3,27.3,23.4
CAN,IHD,81.2,14.4,4.4
CAN,IschStroke,28.6,36.2,35.2
CAN,SAH,54.1,23.9,21.9
CHN,ICH,29.0,66.4,4.6
CHN,IHD,67.2,31.0,1.7
CHN,IschStroke,20.4,72.4,7.1
CHN,SAH,29.4,66.3,4.3
DEU,ICH,55.1,21.3,23.6
DEU,IHD,83.4,12.4,4.2
DEU,IschStroke,32.2,35.0,32.8
DEU,SAH,59.2,19.2,21.6
EGY,ICH,63.3,0.0,36.7
EGY,IHD,83.2,11.5,5.3
EGY,IschStroke,30.1,10.0,59.9
EGY,SAH,66.9,0.0,33.1
GBR,ICH,63.2,10.7,26.0
GBR,IHD,82.7,13.7,3.6
GBR,IschStroke,33.2,29.9,36.9
GBR,SAH,69.7,7.0,23.3
GLB,ICH,50.3,43.0,6.7
GLB,IHD,78.0,20.0,2.0
GLB,IschStroke,36.0,52.8,11.3
GLB,SAH,54.5,39.3,6.3
IND,ICH,70.3,26.4,3.3
IND,IHD,81.6,17.6,0.8
IND,IschStroke,59.5,35.5,5.0
IND,SAH,72.7,24.5,2.8
ISR,ICH,44.3,23.2,32.6
ISR,IHD,77.5,15.8,6.7
ISR,IschStroke,23.6,29.1,47.3
ISR,SAH,47.2,21.6,31.2
JPN,ICH,48.8,44.9,6.3
JPN,IHD,74.3,24.1,1.7
JPN,IschStroke,25.1,63.8,11.0
JPN,SAH,53.8,40.2,6.0
MEX,ICH,52.8,24.9,22.3
MEX,IHD,82.6,12.7,4.7
MEX,IschStroke,26.3,38.7,35.0
MEX,SAH,59.0,20.5,20.4
NGA,ICH,73.2,13.8,12.9
NGA,IHD,87.3,9.8,3.0
NGA,IschStroke,51.0,28.9,20.1
NGA,SAH,77.0,12.3,10.7
NZL,ICH,62.7,9.0,28.3
NZL,IHD,83.4,12.4,4.2
NZL,IschStroke,42.0,13.1,44.9
NZL,SAH,67.6,9.0,23.3
ROU,ICH,22.9,67.6,9.6
ROU,IHD,71.3,25.9,2.8
ROU,IschStroke,8.7,77.5,13.9
ROU,SAH,25.3,64.9,9.8
TUR,ICH,41.9,9.2,48.9
TUR,IHD,80.6,11.9,7.5
TUR,IschStroke,19.3,27.1,53.6
TUR,SAH,48.5,4.8,46.6
USA,ICH,56.7,20.0,23.3
USA,IHD,82.5,12.9,4.6
USA,IschStroke,33.8,30.9,35.3
USA,SAH,61.0,16.6,22.3
ZAF,ICH,84.7,2.2,13.1
ZAF,IHD,88.6,8.4,2.9
ZAF,IschStroke,65.6,10.8,23.6
ZAF,SAH,87.5,2.7,9.8
