factor,mediator,seg,deaths
Fibre (low),Direct,Not transmitted through a GLP-1 target,1183.3759791456173
Fruits (low),Direct,Not transmitted through a GLP-1 target,1123.4783072814846
Legumes (low),Direct,Not transmitted through a GLP-1 target,1419.8006658261795
Nuts & seeds (low),Direct,Not transmitted through a GLP-1 target,1028.6088810504814
Omega-6 PUFA (low),Direct,Not transmitted through a GLP-1 target,1626.1963532392049
Other factors,Direct,Not transmitted through a GLP-1 target,0.0
Other factors,FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",3.392717143595932
Other factors,FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",54.162529562339465
Other factors,LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",548.530807431296
Other factors,LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",156.90328373534115
Other factors,SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",104.7206650980166
Processed meat (high),Direct,Not transmitted through a GLP-1 target,508.8903435973749
Processed meat (high),FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",23.84904273066457
Processed meat (high),FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",23.944630076278457
Red meat (high),Direct,Not transmitted through a GLP-1 target,1103.4930854514316
SSB (high),Direct,Not transmitted through a GLP-1 target,294.4231178551123
SSB (high),FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",13.669455940248456
SSB (high),FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",13.724243338806565
Seafood omega-3 (low),Direct,Not transmitted through a GLP-1 target,679.1544085963507
Sodium (high),SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",629.1057992399277
Trans fat (high),Direct,Not transmitted through a GLP-1 target,1432.8431575917969
Vegetables (low),Direct,Not transmitted through a GLP-1 target,664.9113864846635
Whole grains (low),Direct,Not transmitted through a GLP-1 target,1773.7043756259825
Whole grains (low),LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",955.9136452105304
Whole grains (low),LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",18.91187331865516
