factor,mediator,seg,deaths
Fibre (low),Direct,Not transmitted through a GLP-1 target,35565.952573834715
Fruits (low),Direct,Not transmitted through a GLP-1 target,29233.231435323894
Legumes (low),Direct,Not transmitted through a GLP-1 target,13741.499267297586
Nuts & seeds (low),Direct,Not transmitted through a GLP-1 target,25946.47139817844
Nuts & seeds (low),LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",6072.248828708029
Omega-6 PUFA (low),Direct,Not transmitted through a GLP-1 target,17383.94718277706
Other factors,Direct,Not transmitted through a GLP-1 target,2341.645978614529
Other factors,FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",387.34652872115055
Other factors,FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",1143.2825384324797
Other factors,LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",2163.1218546595637
Other factors,LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",1170.1300056215143
Other factors,SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",1369.0093781649884
Other factors,SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",1160.477885536974
Sodium (high),SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",8206.7598951622
Sodium (high),SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",8212.638240868037
Vegetables (low),Direct,Not transmitted through a GLP-1 target,16543.299009042687
Whole grains (low),Direct,Not transmitted through a GLP-1 target,24354.20431757175
Whole grains (low),LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",13623.46160850369
