factor,mediator,seg,deaths
Fibre (low),Direct,Not transmitted through a GLP-1 target,1312.1288629716619
Fruits (low),Direct,Not transmitted through a GLP-1 target,1801.7952311553736
Legumes (low),Direct,Not transmitted through a GLP-1 target,1914.880062030156
Nuts & seeds (low),Direct,Not transmitted through a GLP-1 target,1896.6697749411123
Nuts & seeds (low),LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",408.27468235013487
Omega-6 PUFA (low),Direct,Not transmitted through a GLP-1 target,519.6398973143188
Other factors,Direct,Not transmitted through a GLP-1 target,0.7392927254765904
Other factors,FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",62.69876370987428
Other factors,FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",154.9636430171944
Other factors,LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",113.5509317364192
Other factors,LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",211.65117546002335
Other factors,SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",123.03670269934157
Other factors,SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",25.871870182966436
Processed meat (high),Direct,Not transmitted through a GLP-1 target,514.9056341315401
Processed meat (high),FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",78.43463919603563
Red meat (high),Direct,Not transmitted through a GLP-1 target,536.0220772925318
SSB (high),Direct,Not transmitted through a GLP-1 target,339.88692178018584
Seafood omega-3 (low),Direct,Not transmitted through a GLP-1 target,2030.076214042623
Sodium (high),SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",5613.021289904894
Sodium (high),SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",1324.2129639146626
Vegetables (low),Direct,Not transmitted through a GLP-1 target,672.1670283405861
Whole grains (low),Direct,Not transmitted through a GLP-1 target,1261.0759163443815
Whole grains (low),LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",582.867081141153
