factor,mediator,seg,deaths
Fibre (low),Direct,Not transmitted through a GLP-1 target,6885.5353823785035
Fruits (low),Direct,Not transmitted through a GLP-1 target,9011.709938374259
Legumes (low),Direct,Not transmitted through a GLP-1 target,5677.820356166964
Nuts & seeds (low),Direct,Not transmitted through a GLP-1 target,14272.313700857438
Nuts & seeds (low),LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",3173.140072954812
Other factors,Direct,Not transmitted through a GLP-1 target,1474.5553951045188
Other factors,FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",270.5493453017418
Other factors,FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",911.8787265424721
Other factors,LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",598.7273716470849
Other factors,LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",1035.7742128797156
Other factors,SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",463.39346410346445
Other factors,SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",397.6744184244268
Red meat (high),Direct,Not transmitted through a GLP-1 target,8944.614593565326
SSB (high),Direct,Not transmitted through a GLP-1 target,2514.4216749567245
SSB (high),FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",221.7714732662139
Seafood omega-3 (low),Direct,Not transmitted through a GLP-1 target,10206.532472544812
Sodium (high),SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",8912.837333244099
Sodium (high),SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",8608.633002267738
Vegetables (low),Direct,Not transmitted through a GLP-1 target,8266.814552386402
Whole grains (low),Direct,Not transmitted through a GLP-1 target,9916.24153837078
Whole grains (low),LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",5040.077068765804
Whole grains (low),LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",211.40813956121323
