factor,mediator,seg,deaths
Fibre (low),Direct,Not transmitted through a GLP-1 target,937.4418921936814
Fruits (low),Direct,Not transmitted through a GLP-1 target,1316.8081675943513
Legumes (low),Direct,Not transmitted through a GLP-1 target,2398.6682586943075
Nuts & seeds (low),Direct,Not transmitted through a GLP-1 target,1498.736622432799
Omega-6 PUFA (low),Direct,Not transmitted through a GLP-1 target,3422.482178953075
Other factors,Direct,Not transmitted through a GLP-1 target,8.128410646713497e-12
Other factors,FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",10.297389691915818
Other factors,FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",136.06825692266918
Other factors,LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",436.05914293476377
Other factors,LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",287.33000961242755
Other factors,SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",59.26171665374363
Other factors,SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",87.68149062357577
Processed meat (high),Direct,Not transmitted through a GLP-1 target,1979.3633648801888
Processed meat (high),FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",91.938385905939
Processed meat (high),FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",53.76428589428129
Red meat (high),Direct,Not transmitted through a GLP-1 target,1522.4318119021002
SSB (high),Direct,Not transmitted through a GLP-1 target,590.6545214642542
SSB (high),FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",33.23341022667829
Seafood omega-3 (low),Direct,Not transmitted through a GLP-1 target,1512.5581878102653
Sodium (high),SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",990.8317637439383
Sodium (high),SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",1850.152651197938
Vegetables (low),Direct,Not transmitted through a GLP-1 target,1369.9172286726919
Whole grains (low),Direct,Not transmitted through a GLP-1 target,2509.840938666516
Whole grains (low),LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",1291.157382776055
Whole grains (low),LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",24.244189852887093
