factor,mediator,seg,deaths
Fibre (low),Direct,Not transmitted through a GLP-1 target,58283.535013064255
Fruits (low),Direct,Not transmitted through a GLP-1 target,190053.31658676878
Legumes (low),Direct,Not transmitted through a GLP-1 target,134557.32306074855
Nuts & seeds (low),Direct,Not transmitted through a GLP-1 target,85923.55671046158
Omega-6 PUFA (low),Direct,Not transmitted through a GLP-1 target,40663.54166357447
Other factors,Direct,Not transmitted through a GLP-1 target,30177.41070616509
Other factors,FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",453.8461365937181
Other factors,FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",4461.887203007983
Other factors,LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",38754.96868006847
Other factors,LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",12276.564677208718
Other factors,SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",8779.142552684505
Other factors,SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",2247.4270698088835
Red meat (high),Direct,Not transmitted through a GLP-1 target,65912.41813249873
Seafood omega-3 (low),Direct,Not transmitted through a GLP-1 target,77117.69771879757
Sodium (high),SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",449462.6114026351
Sodium (high),SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",121964.79079871536
Trans fat (high),Direct,Not transmitted through a GLP-1 target,75348.89742843075
Whole grains (low),Direct,Not transmitted through a GLP-1 target,133588.3576927861
Whole grains (low),LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",65789.5834943416
Whole grains (low),LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",3349.117998863744
