factor,mediator,seg,deaths
Fibre (low),Direct,Not transmitted through a GLP-1 target,6307.907549289859
Fruits (low),Direct,Not transmitted through a GLP-1 target,5618.854452150867
Legumes (low),Direct,Not transmitted through a GLP-1 target,15319.479487316394
Nuts & seeds (low),Direct,Not transmitted through a GLP-1 target,8052.715945472319
Omega-6 PUFA (low),Direct,Not transmitted through a GLP-1 target,7011.017562409402
Other factors,Direct,Not transmitted through a GLP-1 target,24.488878759174852
Other factors,FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",36.65629143980369
Other factors,FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",496.3751615364035
Other factors,LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",2161.703750353705
Other factors,LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",1167.3896655526084
Other factors,SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",250.74253799039528
Other factors,SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",389.30420514224664
Processed meat (high),Direct,Not transmitted through a GLP-1 target,7942.071064774628
Processed meat (high),FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",572.3084861699947
Processed meat (high),FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",244.10875515667388
Red meat (high),Direct,Not transmitted through a GLP-1 target,6170.005752802973
SSB (high),Direct,Not transmitted through a GLP-1 target,2120.43144057963
SSB (high),FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",183.1989113957657
Seafood omega-3 (low),Direct,Not transmitted through a GLP-1 target,8440.518420897872
Sodium (high),SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",2637.1181955253132
Sodium (high),SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",6797.884179802002
Vegetables (low),Direct,Not transmitted through a GLP-1 target,4697.4361501499125
Whole grains (low),Direct,Not transmitted through a GLP-1 target,8985.018862835203
Whole grains (low),LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",4531.8693458480775
Whole grains (low),LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",108.22807926431972
