factor,mediator,seg,deaths
Fruits (low),Direct,Not transmitted through a GLP-1 target,5135.333521022436
Legumes (low),Direct,Not transmitted through a GLP-1 target,10412.711351128162
Nuts & seeds (low),Direct,Not transmitted through a GLP-1 target,23490.340535413765
Nuts & seeds (low),LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",5176.756837595463
Omega-6 PUFA (low),Direct,Not transmitted through a GLP-1 target,18499.963080686983
Other factors,Direct,Not transmitted through a GLP-1 target,6931.375909919783
Other factors,FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",16.529448753805273
Other factors,FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",203.44683703151048
Other factors,LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",2477.565518729185
Other factors,LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",1323.3921674933313
Other factors,SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",442.3845184595304
Other factors,SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",411.72801951177627
Processed meat (high),FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",90.37170137167357
SSB (high),FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",85.02000462162864
Seafood omega-3 (low),Direct,Not transmitted through a GLP-1 target,5075.463891630252
Sodium (high),SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",7927.050661072411
Trans fat (high),Direct,Not transmitted through a GLP-1 target,23580.739671997224
Trans fat (high),LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",3761.8215288503816
Vegetables (low),Direct,Not transmitted through a GLP-1 target,126.33316785784378
Whole grains (low),Direct,Not transmitted through a GLP-1 target,4004.5402050165226
