factor,mediator,seg,deaths
Fibre (low),Direct,Not transmitted through a GLP-1 target,3536.2828755036107
Fruits (low),Direct,Not transmitted through a GLP-1 target,4715.856305638129
Legumes (low),Direct,Not transmitted through a GLP-1 target,6357.765425463302
Nuts & seeds (low),Direct,Not transmitted through a GLP-1 target,8198.306178500668
Nuts & seeds (low),LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",1830.7103209742488
Omega-6 PUFA (low),Direct,Not transmitted through a GLP-1 target,5206.981484122012
Other factors,Direct,Not transmitted through a GLP-1 target,1205.375912912695
Other factors,FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",34.698446692315336
Other factors,FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",272.5238961703786
Other factors,LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",972.600436850907
Other factors,LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",599.3176347555676
Other factors,SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",1030.2139076455535
Other factors,SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",319.7755219447732
Processed meat (high),Direct,Not transmitted through a GLP-1 target,4643.705299058844
Processed meat (high),FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",345.7276488370539
Processed meat (high),FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",143.97157047888646
Red meat (high),Direct,Not transmitted through a GLP-1 target,2940.192813174873
SSB (high),FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",104.06077880068568
Seafood omega-3 (low),Direct,Not transmitted through a GLP-1 target,2435.8751819257463
Sodium (high),SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",3660.6159473908447
Trans fat (high),Direct,Not transmitted through a GLP-1 target,3695.564337416152
Vegetables (low),Direct,Not transmitted through a GLP-1 target,2726.9800900884497
Whole grains (low),Direct,Not transmitted through a GLP-1 target,6185.3689037102995
Whole grains (low),LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",3338.5359004682023
Whole grains (low),LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",71.7961188758335
