factor,mediator,seg,deaths
Fibre (low),Direct,Not transmitted through a GLP-1 target,427248.8921330974
Fruits (low),Direct,Not transmitted through a GLP-1 target,899531.4442225483
Legumes (low),Direct,Not transmitted through a GLP-1 target,592882.3840516381
Nuts & seeds (low),Direct,Not transmitted through a GLP-1 target,710859.4180685354
Nuts & seeds (low),LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",159083.97185850178
Omega-6 PUFA (low),Direct,Not transmitted through a GLP-1 target,521629.8499651305
Other factors,Direct,Not transmitted through a GLP-1 target,67026.17760379172
Other factors,FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",14744.690266134809
Other factors,FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",39420.05190169514
Other factors,LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",105381.91240174415
Other factors,LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",57530.43044331085
Other factors,SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",43695.376474658966
Other factors,SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",23468.996854091118
Processed meat (high),Direct,Not transmitted through a GLP-1 target,121850.28294697868
Red meat (high),Direct,Not transmitted through a GLP-1 target,181392.4859486271
Seafood omega-3 (low),Direct,Not transmitted through a GLP-1 target,521322.9808862202
Sodium (high),SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",824376.8723942937
Sodium (high),SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",462324.2267402625
Trans fat (high),Direct,Not transmitted through a GLP-1 target,330488.9692058988
Vegetables (low),Direct,Not transmitted through a GLP-1 target,320457.04364905
Whole grains (low),Direct,Not transmitted through a GLP-1 target,567300.5146905382
Whole grains (low),LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",291449.4332757229
Whole grains (low),LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",10780.945019962408
