factor,mediator,outcome,seg,deaths
Fibre (low),Direct,Intracerebral haemorrhage,Not transmitted through a GLP-1 target,65523.82624220272
Fibre (low),Direct,Ischaemic heart disease,Not transmitted through a GLP-1 target,332955.84505916736
Fibre (low),Direct,Ischaemic stroke,Not transmitted through a GLP-1 target,20105.819888544505
Fibre (low),Direct,Subarachnoid haemorrhage,Not transmitted through a GLP-1 target,8663.40094318283
Fruits (low),Direct,Intracerebral haemorrhage,Not transmitted through a GLP-1 target,239670.8015719151
Fruits (low),Direct,Ischaemic heart disease,Not transmitted through a GLP-1 target,566421.6428349
Fruits (low),Direct,Ischaemic stroke,Not transmitted through a GLP-1 target,65742.93561045786
Fruits (low),Direct,Subarachnoid haemorrhage,Not transmitted through a GLP-1 target,27696.064205275416
Legumes (low),Direct,Ischaemic heart disease,Not transmitted through a GLP-1 target,592882.3840516381
Nuts & seeds (low),Direct,Ischaemic heart disease,Not transmitted through a GLP-1 target,710859.4180685354
Nuts & seeds (low),LDL,Ischaemic heart disease,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",159083.97185850178
Omega-6 PUFA (low),Direct,Ischaemic heart disease,Not transmitted through a GLP-1 target,521629.8499651305
Other factors,Direct,Intracerebral haemorrhage,Not transmitted through a GLP-1 target,0.0
Other factors,Direct,Ischaemic heart disease,Not transmitted through a GLP-1 target,67026.17760379172
Other factors,Direct,Ischaemic stroke,Not transmitted through a GLP-1 target,0.0
Other factors,Direct,Subarachnoid haemorrhage,Not transmitted through a GLP-1 target,0.0
Other factors,FPG,Intracerebral haemorrhage,"Transmitted through a GLP-1 target, offset by 20% coverage",4175.5909985754615
Other factors,FPG,Ischaemic heart disease,"Transmitted through a GLP-1 target, offset by 20% coverage",18143.167873066992
Other factors,FPG,Ischaemic stroke,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",14744.690266134809
Other factors,FPG,Ischaemic stroke,"Transmitted through a GLP-1 target, offset by 20% coverage",17101.293030052686
Other factors,LDL,Ischaemic heart disease,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",103451.48190808088
Other factors,LDL,Ischaemic heart disease,"Transmitted through a GLP-1 target, offset by 20% coverage",49484.48882077239
Other factors,LDL,Ischaemic stroke,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",1930.4304936632632
Other factors,LDL,Ischaemic stroke,"Transmitted through a GLP-1 target, offset by 20% coverage",8045.941622538457
Other factors,SBP,Intracerebral haemorrhage,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",5146.702199464387
Other factors,SBP,Intracerebral haemorrhage,"Transmitted through a GLP-1 target, offset by 20% coverage",2557.9418117098458
Other factors,SBP,Ischaemic heart disease,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",34981.40525286265
Other factors,SBP,Ischaemic heart disease,"Transmitted through a GLP-1 target, offset by 20% coverage",18343.907632598704
Other factors,SBP,Ischaemic stroke,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",3016.0483313270174
Other factors,SBP,Ischaemic stroke,"Transmitted through a GLP-1 target, offset by 20% coverage",2247.561321948755
Other factors,SBP,Subarachnoid haemorrhage,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",551.2206910049123
Other factors,SBP,Subarachnoid haemorrhage,"Transmitted through a GLP-1 target, offset by 20% coverage",319.58608783381175
Processed meat (high),Direct,Ischaemic heart disease,Not transmitted through a GLP-1 target,121850.28294697868
Red meat (high),Direct,Ischaemic heart disease,Not transmitted through a GLP-1 target,181392.4859486271
Seafood omega-3 (low),Direct,Ischaemic heart disease,Not transmitted through a GLP-1 target,521322.9808862202
Sodium (high),SBP,Intracerebral haemorrhage,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",222654.0195323681
Sodium (high),SBP,Intracerebral haemorrhage,"Transmitted through a GLP-1 target, offset by 20% coverage",110660.38096518896
Sodium (high),SBP,Ischaemic heart disease,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",422093.2924398908
Sodium (high),SBP,Ischaemic heart disease,"Transmitted through a GLP-1 target, offset by 20% coverage",221341.60457213785
Sodium (high),SBP,Ischaemic stroke,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",158242.83156275758
Sodium (high),SBP,Ischaemic stroke,"Transmitted through a GLP-1 target, offset by 20% coverage",117922.668546767
Sodium (high),SBP,Subarachnoid haemorrhage,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",21386.728859277235
Sodium (high),SBP,Subarachnoid haemorrhage,"Transmitted through a GLP-1 target, offset by 20% coverage",12399.572656168632
Trans fat (high),Direct,Ischaemic heart disease,Not transmitted through a GLP-1 target,330488.9692058988
Vegetables (low),Direct,Intracerebral haemorrhage,Not transmitted through a GLP-1 target,44321.634575240736
Vegetables (low),Direct,Ischaemic heart disease,Not transmitted through a GLP-1 target,229524.844107117
Vegetables (low),Direct,Ischaemic stroke,Not transmitted through a GLP-1 target,41529.32043936798
Vegetables (low),Direct,Subarachnoid haemorrhage,Not transmitted through a GLP-1 target,5081.244527324261
Whole grains (low),Direct,Ischaemic heart disease,Not transmitted through a GLP-1 target,507148.2371744605
Whole grains (low),Direct,Ischaemic stroke,Not transmitted through a GLP-1 target,60152.2775160777
Whole grains (low),LDL,Ischaemic heart disease,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",291449.4332757229
Whole grains (low),LDL,Ischaemic stroke,"Transmitted through a GLP-1 target, offset by 20% coverage",10780.945019962408
