factor,mediator,seg,deaths
Fibre (low),Direct,Not transmitted through a GLP-1 target,68084.63240090726
Fruits (low),Direct,Not transmitted through a GLP-1 target,292169.7321165584
Legumes (low),Direct,Not transmitted through a GLP-1 target,61442.00264149479
Nuts & seeds (low),Direct,Not transmitted through a GLP-1 target,153867.05275957
Nuts & seeds (low),LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",35371.81545702214
Omega-6 PUFA (low),Direct,Not transmitted through a GLP-1 target,140634.3389963723
Other factors,Direct,Not transmitted through a GLP-1 target,11021.973009365876
Other factors,FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",1490.7832894250082
Other factors,FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",6276.604116176677
Other factors,LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",36026.31463306127
Other factors,LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",9425.00452664081
Other factors,SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",10874.989106302071
Other factors,SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",9403.5856059214
Seafood omega-3 (low),Direct,Not transmitted through a GLP-1 target,127718.94034830804
Sodium (high),SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",66726.83914332073
Sodium (high),SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",67477.79860379733
Trans fat (high),Direct,Not transmitted through a GLP-1 target,110899.47462043456
Vegetables (low),Direct,Not transmitted through a GLP-1 target,62464.10230852193
Whole grains (low),Direct,Not transmitted through a GLP-1 target,92921.82524801623
Whole grains (low),LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",49852.8731223392
