factor,mediator,seg,deaths
Fibre (low),Direct,Not transmitted through a GLP-1 target,64.94421644920918
Fruits (low),Direct,Not transmitted through a GLP-1 target,98.2083536715935
Legumes (low),Direct,Not transmitted through a GLP-1 target,252.823730891636
Nuts & seeds (low),Direct,Not transmitted through a GLP-1 target,64.11017071710135
Omega-6 PUFA (low),Direct,Not transmitted through a GLP-1 target,150.17015191114044
Other factors,Direct,Not transmitted through a GLP-1 target,1.636331474770777
Other factors,FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",0.3680968507000566
Other factors,FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",5.672539181015247
Other factors,LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",39.63943374576864
Other factors,LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",31.17669352603786
Other factors,SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",2.2519224413279315
Other factors,SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",6.15054291414666
Processed meat (high),Direct,Not transmitted through a GLP-1 target,61.26024270192606
Processed meat (high),FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",6.46714274261574
Processed meat (high),FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",4.999422403866068
Red meat (high),Direct,Not transmitted through a GLP-1 target,153.50313334460253
SSB (high),Direct,Not transmitted through a GLP-1 target,80.30033057081715
SSB (high),FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",7.189616221237225
SSB (high),FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",5.5579302703181375
Seafood omega-3 (low),Direct,Not transmitted through a GLP-1 target,66.14297897309183
Sodium (high),SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",65.40287837931145
Sodium (high),SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",235.2939935427925
Trans fat (high),Direct,Not transmitted through a GLP-1 target,135.49437940918193
Vegetables (low),Direct,Not transmitted through a GLP-1 target,67.8384096429738
Whole grains (low),Direct,Not transmitted through a GLP-1 target,257.747890326637
Whole grains (low),LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",128.3949375937074
Whole grains (low),LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",3.082834505279328
