factor,mediator,seg,deaths
Fibre (low),Direct,Not transmitted through a GLP-1 target,14121.644269780043
Fruits (low),Direct,Not transmitted through a GLP-1 target,12079.63367312061
Legumes (low),Direct,Not transmitted through a GLP-1 target,4527.287367460769
Nuts & seeds (low),Direct,Not transmitted through a GLP-1 target,11483.958665909062
Nuts & seeds (low),LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",2564.407963983395
Omega-6 PUFA (low),Direct,Not transmitted through a GLP-1 target,6597.537165043869
Other factors,Direct,Not transmitted through a GLP-1 target,3350.811990957643
Other factors,FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",49.4569250908627
Other factors,FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",406.85958099660417
Other factors,LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",1303.8585798495326
Other factors,LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",963.7637637021504
Other factors,SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",592.2015492973886
Other factors,SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",289.4726072568544
Processed meat (high),Direct,Not transmitted through a GLP-1 target,3325.802563754952
Processed meat (high),FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",796.1991224150687
Processed meat (high),FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",449.80889388394337
SSB (high),FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",252.480398691322
Sodium (high),SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",14629.743699143179
Sodium (high),SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",8831.454810306434
Trans fat (high),Direct,Not transmitted through a GLP-1 target,3727.2668375585713
Vegetables (low),Direct,Not transmitted through a GLP-1 target,3075.5163025970746
Whole grains (low),Direct,Not transmitted through a GLP-1 target,11161.07342024008
Whole grains (low),LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",5656.028291782188
Whole grains (low),LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",256.4092511435266
