factor,mediator,seg,deaths
Fruits (low),Direct,Not transmitted through a GLP-1 target,4549.199188371674
Legumes (low),Direct,Not transmitted through a GLP-1 target,5389.438416984252
Nuts & seeds (low),Direct,Not transmitted through a GLP-1 target,12344.268446332013
Nuts & seeds (low),LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",2527.8113893085847
Omega-6 PUFA (low),Direct,Not transmitted through a GLP-1 target,8019.628891553777
Other factors,Direct,Not transmitted through a GLP-1 target,1920.2531842925628
Other factors,FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",50.65674453822385
Other factors,FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",373.70295897950444
Other factors,LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",2046.360065958266
Other factors,LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",918.5563312540081
Other factors,SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",242.43682080324342
Other factors,SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",271.97478588798003
Red meat (high),Direct,Not transmitted through a GLP-1 target,4791.982568436414
SSB (high),Direct,Not transmitted through a GLP-1 target,4361.611645503513
SSB (high),FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",101.17550947417551
SSB (high),FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",75.39606028878352
Seafood omega-3 (low),Direct,Not transmitted through a GLP-1 target,7576.542431997288
Sodium (high),SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",3778.1303101478625
Sodium (high),SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",4616.79121161234
Trans fat (high),Direct,Not transmitted through a GLP-1 target,8721.006466276098
Vegetables (low),Direct,Not transmitted through a GLP-1 target,4746.918417263737
