factor,mediator,seg,deaths
Fruits (low),Direct,Not transmitted through a GLP-1 target,11060.634468843124
Legumes (low),Direct,Not transmitted through a GLP-1 target,5171.912553533708
Nuts & seeds (low),Direct,Not transmitted through a GLP-1 target,1297.6476326136228
Omega-6 PUFA (low),Direct,Not transmitted through a GLP-1 target,9028.395729164513
Other factors,Direct,Not transmitted through a GLP-1 target,1177.9165988661803
Other factors,FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",179.0781615726782
Other factors,FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",409.0219185417041
Other factors,LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",1928.3697550366583
Other factors,LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",561.9986577721014
Other factors,SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",544.2658605175594
Other factors,SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",740.9550535782467
Processed meat (high),FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",93.95976988089474
Seafood omega-3 (low),Direct,Not transmitted through a GLP-1 target,7792.589220934187
Sodium (high),SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",4523.020815237695
Trans fat (high),Direct,Not transmitted through a GLP-1 target,2709.967265053804
Vegetables (low),Direct,Not transmitted through a GLP-1 target,4977.8621801818945
Vegetables (low),LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",107.35120106866606
Whole grains (low),Direct,Not transmitted through a GLP-1 target,1666.936264113642
