factor,mediator,seg,deaths
Fibre (low),Direct,Not transmitted through a GLP-1 target,238.50448557801363
Fruits (low),Direct,Not transmitted through a GLP-1 target,257.0953077277908
Legumes (low),Direct,Not transmitted through a GLP-1 target,421.91726664243424
Nuts & seeds (low),Direct,Not transmitted through a GLP-1 target,250.27672665743765
Omega-6 PUFA (low),Direct,Not transmitted through a GLP-1 target,404.85853832181925
Other factors,Direct,Not transmitted through a GLP-1 target,57.55158461921017
Other factors,FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",1.023103767697678
Other factors,FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",14.110740905542604
Other factors,LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",128.33074732550037
Other factors,LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",41.44881486537706
Other factors,SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",47.03453278655776
Other factors,SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",19.982277083715896
Processed meat (high),Direct,Not transmitted through a GLP-1 target,136.07311017847283
Processed meat (high),FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",9.317267610589893
Processed meat (high),FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",7.716128386832215
Red meat (high),Direct,Not transmitted through a GLP-1 target,285.60274638324904
SSB (high),FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",3.930260025006736
SSB (high),FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",3.254858850691136
Seafood omega-3 (low),Direct,Not transmitted through a GLP-1 target,205.86740597566904
Sodium (high),SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",226.38339527335535
Trans fat (high),Direct,Not transmitted through a GLP-1 target,329.83033627025304
Vegetables (low),Direct,Not transmitted through a GLP-1 target,172.501205480873
Whole grains (low),Direct,Not transmitted through a GLP-1 target,403.33480228444085
Whole grains (low),LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",213.3023456871036
Whole grains (low),LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",4.639768545480372
