factor,mediator,seg,deaths
Fruits (low),Direct,Not transmitted through a GLP-1 target,2061.167641991257
Legumes (low),Direct,Not transmitted through a GLP-1 target,4812.410555646092
Nuts & seeds (low),Direct,Not transmitted through a GLP-1 target,5726.1003579260805
Nuts & seeds (low),LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",1238.1766162016977
Omega-6 PUFA (low),Direct,Not transmitted through a GLP-1 target,3659.3468878516073
Other factors,Direct,Not transmitted through a GLP-1 target,1187.615180782913
Other factors,FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",11.519594300292043
Other factors,FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",142.5100521472246
Other factors,LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",427.5296867524426
Other factors,LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",430.1087499284893
Other factors,SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",121.4758288790148
Other factors,SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",26.995862240437653
Processed meat (high),Direct,Not transmitted through a GLP-1 target,1489.7843294087556
Processed meat (high),FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",320.0848796917111
Processed meat (high),FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",139.80718883086232
Red meat (high),Direct,Not transmitted through a GLP-1 target,1575.8590793881954
SSB (high),Direct,Not transmitted through a GLP-1 target,867.8011349871831
SSB (high),FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",193.46020829296916
Seafood omega-3 (low),Direct,Not transmitted through a GLP-1 target,4210.371249996541
Sodium (high),SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",12086.882519640945
Sodium (high),SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",2921.0640771854196
Trans fat (high),Direct,Not transmitted through a GLP-1 target,2002.80064816334
Whole grains (low),Direct,Not transmitted through a GLP-1 target,2310.10677695696
Whole grains (low),LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",1139.1327801532184
