factor,mediator,seg,deaths
Fruits (low),Direct,Not transmitted through a GLP-1 target,571.9863143382546
Legumes (low),Direct,Not transmitted through a GLP-1 target,3144.2538923248967
Nuts & seeds (low),Direct,Not transmitted through a GLP-1 target,2706.974826636554
Omega-6 PUFA (low),Direct,Not transmitted through a GLP-1 target,9086.084709098586
Other factors,Direct,Not transmitted through a GLP-1 target,1590.1652343283545
Other factors,FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",11.999376515263624
Other factors,FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",37.4672091354486
Other factors,LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",603.5155951334445
Other factors,LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",609.4504100168733
Other factors,SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",18.313361252085656
Other factors,SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",64.14228436520098
Processed meat (high),FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",48.39934626508217
Red meat (high),Direct,Not transmitted through a GLP-1 target,986.447311143704
SSB (high),Direct,Not transmitted through a GLP-1 target,1424.9990831419811
SSB (high),FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",108.62861481135612
Seafood omega-3 (low),Direct,Not transmitted through a GLP-1 target,7682.887013270184
Sodium (high),SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",1331.909656041219
Sodium (high),SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",4774.3081169564675
Whole grains (low),Direct,Not transmitted through a GLP-1 target,4170.3358949505355
Whole grains (low),LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",1984.1599350639085
Whole grains (low),LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",53.710792480208895
