factor,mediator,seg,deaths
Fibre (low),Direct,Not transmitted through a GLP-1 target,17858.320323923355
Fruits (low),Direct,Not transmitted through a GLP-1 target,19421.546607793534
Legumes (low),Direct,Not transmitted through a GLP-1 target,33974.2845970583
Nuts & seeds (low),Direct,Not transmitted through a GLP-1 target,10376.708147198324
Other factors,Direct,Not transmitted through a GLP-1 target,619.3075756456374
Other factors,FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",194.53680461870434
Other factors,FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",1387.965773348411
Other factors,LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",3704.0695112848734
Other factors,LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",2879.3338997152605
Other factors,SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",683.1926880938915
Other factors,SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",1182.91708318442
Processed meat (high),Direct,Not transmitted through a GLP-1 target,32605.21983227323
Processed meat (high),FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",1497.1615018027005
Processed meat (high),FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",579.3454355103377
Red meat (high),Direct,Not transmitted through a GLP-1 target,20493.206270129023
SSB (high),Direct,Not transmitted through a GLP-1 target,11777.004885776549
SSB (high),FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",597.2912776709392
Seafood omega-3 (low),Direct,Not transmitted through a GLP-1 target,24873.76402747117
Sodium (high),SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",8079.167128671291
Sodium (high),SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",18343.069240158777
Vegetables (low),Direct,Not transmitted through a GLP-1 target,12872.864979203772
Whole grains (low),Direct,Not transmitted through a GLP-1 target,29967.957562125765
Whole grains (low),LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",15526.522579889524
Whole grains (low),LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",320.6516830164354
