factor,mediator,seg,deaths
Fibre (low),Direct,Not transmitted through a GLP-1 target,1062.9412458941486
Fruits (low),Direct,Not transmitted through a GLP-1 target,6339.212289893035
Fruits (low),SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",41.722882491243546
Legumes (low),Direct,Not transmitted through a GLP-1 target,2942.805074738784
Nuts & seeds (low),Direct,Not transmitted through a GLP-1 target,3906.650339732409
Nuts & seeds (low),LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",857.1307461800959
Omega-6 PUFA (low),Direct,Not transmitted through a GLP-1 target,1087.6940985427093
Other factors,Direct,Not transmitted through a GLP-1 target,789.9994614044331
Other factors,FPG,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",117.43709347736777
Other factors,FPG,"Transmitted through a GLP-1 target, offset by 20% coverage",242.55915265863365
Other factors,LDL,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",441.4662488006466
Other factors,LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",184.37583751052927
Other factors,SBP,"Transmitted through a GLP-1 target, beyond what 20% coverage offsets",14.69085417862602
Other factors,SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",411.56427266678367
Red meat (high),Direct,Not transmitted through a GLP-1 target,1040.2114411577832
Seafood omega-3 (low),Direct,Not transmitted through a GLP-1 target,3024.298409112048
Sodium (high),SBP,"Transmitted through a GLP-1 target, offset by 20% coverage",1247.6561800270717
Vegetables (low),Direct,Not transmitted through a GLP-1 target,2522.2671135578657
Vegetables (low),LDL,"Transmitted through a GLP-1 target, offset by 20% coverage",43.48893867251835
Whole grains (low),Direct,Not transmitted through a GLP-1 target,43.44878593277493
