iso3,yr,cum_averted,gdd_var,factor
AUS,1,0.0,v01,Fruits
BGD,1,0.0,v01,Fruits
BGR,1,0.0,v01,Fruits
BRA,1,0.0,v01,Fruits
CAN,1,0.0,v01,Fruits
CHN,1,0.0,v01,Fruits
DEU,1,0.0,v01,Fruits
EGY,1,0.0,v01,Fruits
GBR,1,0.0,v01,Fruits
GLB,1,0.0,v01,Fruits
IND,1,0.0,v01,Fruits
ISR,1,0.0,v01,Fruits
JPN,1,0.0,v01,Fruits
MEX,1,0.0,v01,Fruits
NGA,1,0.0,v01,Fruits
NZL,1,0.0,v01,Fruits
ROU,1,0.0,v01,Fruits
TUR,1,0.0,v01,Fruits
USA,1,0.0,v01,Fruits
ZAF,1,0.0,v01,Fruits
AUS,2,3.4,v01,Fruits
BGD,2,91.6,v01,Fruits
BGR,2,7.6,v01,Fruits
BRA,2,16.6,v01,Fruits
CAN,2,1.8,v01,Fruits
CHN,2,321.2,v01,Fruits
DEU,2,13.8,v01,Fruits
EGY,2,14.0,v01,Fruits
GBR,2,9.7,v01,Fruits
GLB,2,1439.0,v01,Fruits
IND,2,1510.3,v01,Fruits
ISR,2,0.2,v01,Fruits
JPN,2,34.8,v01,Fruits
MEX,2,8.5,v01,Fruits
NGA,2,25.7,v01,Fruits
NZL,2,0.9,v01,Fruits
ROU,2,9.3,v01,Fruits
TUR,2,2.8,v01,Fruits
USA,2,42.4,v01,Fruits
ZAF,2,36.0,v01,Fruits
AUS,3,11.4,v01,Fruits
BGD,3,303.3,v01,Fruits
BGR,3,24.7,v01,Fruits
BRA,3,57.9,v01,Fruits
CAN,3,6.3,v01,Fruits
CHN,3,1107.8,v01,Fruits
DEU,3,46.9,v01,Fruits
EGY,3,44.0,v01,Fruits
GBR,3,33.1,v01,Fruits
GLB,3,4963.5,v01,Fruits
IND,3,5079.0,v01,Fruits
ISR,3,0.6,v01,Fruits
JPN,3,119.4,v01,Fruits
MEX,3,30.0,v01,Fruits
NGA,3,87.0,v01,Fruits
NZL,3,3.0,v01,Fruits
ROU,3,28.9,v01,Fruits
TUR,3,8.9,v01,Fruits
USA,3,144.6,v01,Fruits
ZAF,3,119.8,v01,Fruits
AUS,4,26.0,v01,Fruits
BGD,4,685.3,v01,Fruits
BGR,4,54.8,v01,Fruits
BRA,4,135.9,v01,Fruits
CAN,4,14.7,v01,Fruits
CHN,4,2573.7,v01,Fruits
DEU,4,107.3,v01,Fruits
EGY,4,96.8,v01,Fruits
GBR,4,76.0,v01,Fruits
GLB,4,11513.8,v01,Fruits
IND,4,11597.7,v01,Fruits
ISR,4,1.4,v01,Fruits
JPN,4,274.1,v01,Fruits
MEX,4,71.1,v01,Fruits
NGA,4,199.5,v01,Fruits
NZL,4,6.7,v01,Fruits
ROU,4,62.2,v01,Fruits
TUR,4,19.6,v01,Fruits
USA,4,332.7,v01,Fruits
ZAF,4,271.3,v01,Fruits
