iso3,arm,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11,yr12,yr13,yr14,yr15,yr16,yr17,yr18,yr19,yr20,yr21,yr22,yr23,yr24,yr25,yr26,yr27,yr28,yr29,yr30
AUS,diet,0.0,13.23027564226686,31.33915433498305,57.30093068369479,93.66618025436355,141.7609279653143,200.94091968919975,268.62138676082077,341.17436999944675,415.0527446910086,487.5079391473355,556.7716308523545,621.9075004734623,682.5611372756916,738.7337412130037,790.618501829324,838.4964054220883,882.6757126467965,923.4596811833862,961.1310677307683,995.9458884314363,1028.1318684615944,1057.8889704786034,1085.390608981268,1110.78488202258,1134.1955673344337,1155.7228582526468,1175.4439312190207,1193.4134862592537,1209.664411389802
AUS,glp1,142.64795796849603,362.1507071235892,367.03467550820324,377.5296637767001,392.0737842663093,409.0044142843449,427.24672832367565,446.06223690804376,464.92850579993774,483.47732311276644,501.455793285471,518.6978210641319,535.101848019619,550.6133906348277,565.211606154202,578.8992019819116,591.694999956479,603.6285021837666,614.73588967455,625.0569962186345,634.6329153132283,643.5040032724401,651.7081302095621,659.2791007174892,666.2452186726578,672.6280075673985,678.44112124186,683.6894918369526,688.3687640796807,692.4650594225868
BGD,diet,0.0,172.56095807268957,403.06327713944665,729.1295477159301,1179.1158926841563,1765.5437249933657,2476.0232973562224,3275.147167416467,4116.656873191071,4957.501615436209,5766.108603189659,6523.84419417313,7222.5737274435105,7861.202235822405,8442.679324703513,8971.87293868215,9454.225980611554,9894.980137679539,10298.768612195807,10669.4337198386,11009.975602387218,11322.574840977399,11608.655557296848,11868.970108523266,12103.69489703345,12312.531447046433,12494.809286103915,12649.588283286363,12775.758537662336,12872.13604048368
BGD,glp1,411.933807014153,993.8064116188252,937.4798009780599,914.6282760410204,910.3186763936337,915.7435363755058,927.4945541889756,943.3897991620543,962.1558992818309,982.9049996263029,1005.0137653795337,1028.021733981701,1051.5798799425884,1075.4130721790661,1099.2939985921166,1123.0236621172662,1146.4168966775687,1169.2917393141433,1191.462000528245,1212.7325578774398,1232.8970161883772,1251.7374332448398,1269.0258338764652,1284.5272377349993,1298.0039161663954,1309.2205787766143,1317.9501770789611,1323.9800062429367,1327.1177901520787,1327.1974516502978
BGR,diet,0.0,30.29023883522541,67.27307540670199,117.63988175539396,185.0801718099375,269.9288634405639,368.0193175112206,471.73817678919477,572.786624561176,664.7504025074932,744.135535674522,810.0236317391198,863.1653650065799,905.1250323563736,937.6980188600668,962.5908447907975,981.2814563300419,994.9822112354038,1004.6529885880025,1011.0342789819722,1014.68498386096,1016.0181296790773,1015.3320438065418,1012.8365476959469,1008.6745365656294,1002.9395682225198,995.6901002992029,986.960947165235,976.7724400011615,965.137690101311
BGR,glp1,180.35202987103366,446.2278230415309,421.70557679559965,409.4551221637814,402.59617655016507,398.1573963611553,394.528880121552,390.9094002482184,386.9500943626267,382.5554548807735,377.76425867845444,372.6776180806055,367.416067896655,362.0947973648474,356.81036020771455,351.63467739242674,346.6136382255281,341.76851859130693,337.0990142263181,332.5870706991003,328.20095782114754,323.8992272844757,319.63433203184616,315.3557877830701,311.0128297677286,306.55656711194445,301.9416683831066,297.1276287496228,292.07967581664093,286.76937071361067
BRA,diet,0.0,97.04436081899985,242.27633288835204,456.69904448907255,760.5221968324986,1166.1140474241365,1671.7005496004967,2260.667371955038,2907.246125466201,3584.320919024027,4268.922798061496,4944.225589492235,5599.170099138686,6227.151442487808,6824.641534614115,7390.083474975909,7923.107270213601,8424.010251222433,8893.426633563911,9332.122666814874,9740.871867312759,10120.3803857155,10471.24383826631,10793.924415002664,11088.741756575,11355.873863745685,11595.36584788547,11807.145117011292,11991.041931925836,12146.814361847588
BRA,glp1,1056.774749113276,2752.3086027732534,2876.398982928149,2999.3196015620015,3127.8553225400356,3259.8144224856624,3393.5602416212278,3527.9243086529787,3662.031679209984,3795.190465065938,3926.825229265596,4056.4375326781774,4183.582407382422,4307.8535642278075,4428.872938029395,4546.282060897451,4659.734003677258,4768.885434232572,4873.388843560184,4972.885276581968,5066.9980358487155,5155.327847863911,5237.449927086047,5312.91326838432,5381.2423658940825,5441.941411517793,5494.500882699453,5538.406296379886,5573.148791371161,5598.237109706992
CAN,diet,0.0,11.899986706231175,29.379246646612955,55.1642006833481,91.85423255571823,141.05971447598222,202.59415316577451,274.36826039089374,353.11160534297414,435.37820671560075,518.254280036399,599.6091923303666,678.0386731429908,752.6909918082183,823.0909312573257,889.004128754018,950.3459113374356,1007.1250368070322,1059.4108502645458,1107.3145530252505,1150.9781595104541,1190.5671394248666,1226.264484552643,1258.2650880333658,1286.7700307262066,1311.9807714101717,1334.0934395613267,1353.2935051555223,1369.7510995499333,1383.617218248186
CAN,glp1,258.23211686837567,639.221852639007,640.8445635846947,647.0957014273699,658.0867061004719,672.326163523895,688.7084866520672,706.3923529389476,724.7242378587662,743.1929979528213,761.3979192312563,779.024717812973,795.8276663042388,811.616752556657,826.2487620337397,839.6211266501741,851.667465465076,862.3539377078268,871.6757763650194,879.6536180573148,886.329458565072,891.7622275880394,896.0230885899555,899.1906350315539,901.3461816858135,902.5693486433765,902.9341149131114,902.5054856018014,901.3368772942476,899.4682847345366
