iso3,sex,outcome,arm,averted_10yr,averted_yr1,averted_yr10,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11,yr12,yr13,yr14,yr15,yr16,yr17,yr18,yr19,yr20,yr21,yr22,yr23,yr24,yr25,yr26,yr27,yr28,yr29,yr30
CHN,Male,IHD,glp1,409921.1544669797,5921.14568283828,14578.976273875218,5921.14568283828,14740.129173796391,14504.640370814363,14185.675025189761,13885.980170102324,13631.67006663233,13433.892480167327,13294.2796309439,13208.755755347665,13170.474563980242,13171.81838838826,13205.547825446818,13265.296938236104,13345.639944546856,13441.932211609324,13550.07790677948,13666.32010205998,13787.099666947965,13908.992870151298,14028.715145163238,14143.167965234024,14249.504023075802,14345.189619094832,14428.049522473942,14496.286505412543,14548.473925786559,14583.52444222616,14600.64095937647,14599.257311282214,14578.976273875218
CHN,Male,IHD,diet,558923.1504059138,0.0,33149.76247303258,0.0,326.74064082535915,790.8725909912027,1463.3655047258362,2413.0139046842232,3682.6852050542366,5266.187779300148,7104.083541480126,9103.400694836397,11166.728296429152,13213.578466039151,15188.395932523767,17058.920759591274,18810.454895915696,20439.695958843455,21949.717225440312,23346.44385638577,24636.45294307731,25825.7765769877,26919.393926501274,27921.15482631349,28833.94136176235,29659.93113841419,30400.872861534357,31058.321557380492,31633.80827310984,32128.93862038036,32545.427326828707,32885.08326752507,33149.76247303258
CHN,Male,IHD,combo,961546.6102157258,5921.14568283828,47351.08966554166,5921.14568283828,15060.6776389007,15280.624618176604,15622.256508844206,16256.017114269314,17250.372835674556,18610.703596723033,20280.542147015454,22164.64453810663,24160.457922463538,26181.12184800417,28164.544761239318,30072.3559243083,31884.389874394285,33592.499130458105,35195.40153453895,36695.00763414963,38094.11057837843,39395.13747632038,40599.64391039917,41708.277092578355,42720.99335670937,43637.37499787379,44456.94359475421,45179.40979124163,45804.832681880565,46333.685893297195,46766.843139051925,47105.50472759409,47351.08966554166
CHN,Female,IHD,glp1,365726.6243801031,5088.418532772572,14425.678785989061,5088.418532772572,12478.324368522735,12097.340873584617,11729.874142011511,11435.771433621063,11218.766532857786,11076.754898423678,11004.033502906212,10992.732517486671,11034.098006106564,11119.473332124413,11240.915428960347,11391.47238656669,11565.202786722337,11757.035148532479,11962.557922744076,12177.808600708144,12399.104463206604,12622.933742804686,12845.90783012053,13064.763566832524,13276.39908034238,13477.925708864583,13666.720797803719,13840.470083746128,13997.192866743077,14135.24738702923,14253.317272457294,14350.382379511371,14425.678785989061
CHN,Female,IHD,diet,528361.6949786335,0.0,33215.77064665663,0.0,270.7517271172255,662.3084876200883,1235.740712132305,2050.645231931354,3145.715114341234,4519.6256913340185,6127.277924149064,7895.410440651816,9745.795909051783,11612.308481342625,13447.489007190918,15221.6117508756,16918.58896697976,18531.4958599041,20058.8776529514,21502.088259009062,22863.545084741432,24145.690924421884,25350.46256904141,26479.101710252464,27532.180813202634,28509.748381365323,29411.5241845611,30237.096538908314,30986.091386424843,31658.297135080444,32253.74020549562,32772.71418189909,33215.77064665663
CHN,Female,IHD,combo,886878.870846869,5088.418532772572,47236.13957315986,5088.418532772572,12743.94498532894,12747.111530840397,12942.766907886253,13449.39468331798,14308.930713040987,15518.228040386923,17027.533708712086,18757.176357324934,20621.591333846678,22547.074641936575,24478.887257761206,26380.661116127972,28230.43149293447,30016.12326285953,31731.724325639312,33374.463231425034,34942.923307435354,36435.90918728034,37851.87127139885,39188.71675752336,40443.86625052709,41614.44488631049,42697.52457205253,43690.35885701212,44590.573692012345,45396.295483130496,46106.21209802199,46719.57278886228,47236.13957315986
IND,Male,IHD,glp1,238631.6260987447,3089.4732393545564,8917.1568106669,3089.4732393545564,7739.537661467795,7649.9008125033,7562.761275173747,7503.977562095737,7470.14900984813,7458.123975464376,7465.36107556941,7489.754610527656,7529.483372078277,7582.894004898379,7648.414325313643,7724.491055629216,7809.547032997478,7901.953819325194,8000.01646911609,8101.967923677759,8205.971077740425,8310.127017659135,8412.488276525866,8511.076207280625,8603.901752612786,8688.988998475019,8764.400943821296,8828.266911731102,8878.81097888085,8914.380727456184,8933.475544431014,8934.773626422742,8917.1568106669
IND,Male,IHD,diet,444832.02891782636,0.0,25439.974373718258,0.0,285.7411334643839,702.9614425745094,1307.6969763351372,2150.854455567198,3257.5145794658456,4609.870304657961,6148.024717968889,7789.647707772441,9454.407504652743,11079.705986443674,12624.930677357828,14068.477642955491,15402.338579138042,16626.987175217597,17747.506286809687,18770.98622927931,19704.918847436784,20556.28344724956,21331.081903886283,22034.152501148637,22669.150556324515,23238.625204388052,23744.148946464527,24186.47376686195,24565.698148840107,24881.43557755486,25132.978725152556,25319.455519139534,25439.974373718258
IND,Male,IHD,combo,679846.327628535,3089.4732393545564,34188.29215740017,3089.4732393545564,8021.884393781074,8344.448796665878,8855.0712659735,9630.02614152315,10690.859343921766,12017.005955028813,13546.887400346925,15197.1126204381,16886.45189551462,18551.285948079545,20149.754686405417,21658.785909631057,23068.726763872197,24378.27570188162,25590.644714575727,26710.9823501769,27744.785880665528,28697.00234125927,29571.57835227088,30371.28983893874,31097.740492579993,31751.45861596428,32332.048881014343,32838.372485302156,33268.73953752965,33621.10361396801,33893.25191694731,34082.98638752382,34188.29215740017
IND,Female,IHD,glp1,186347.7019741733,1990.6244747837773,7180.475271465257,1990.6244747837773,5184.865174594801,5237.502461978467,5293.749174038647,5365.254789352999,5447.402576567954,5537.0385037555825,5631.988929606159,5730.687356632552,5831.9709904610645,5934.946424142807,6038.889069057768,6143.164742250694,6247.168950018589,6350.28129960387,6451.832985977409,6551.085553547833,6647.219360791612,6739.330389581621,6826.434218529379,6907.47610948584,6981.3462386772735,7046.899145193398,7102.976479183417,7148.432121140882,7182.15872408147,7203.114714563824,7210.350787905743,7203.034957202617,7180.475271465257
