iso3,sex,outcome,arm,averted_10yr,averted_yr1,averted_yr10,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11,yr12,yr13,yr14,yr15,yr16,yr17,yr18,yr19,yr20,yr21,yr22,yr23,yr24,yr25,yr26,yr27,yr28,yr29,yr30
CHN,Male,IHD,glp1,821368.1316813924,11842.29136567656,29221.048622960225,11842.29136567656,29480.106305108173,29023.462077180156,28397.30229673325,27807.04672097927,27305.25966430502,26914.688643206842,26639.044860288966,26470.559216741007,26395.837217911147,26399.860402481398,26468.30021084915,26588.526338124415,26749.75656308094,26942.751387950033,27159.357689138968,27392.093540115515,27633.86790981982,27877.85617021355,28117.507238585036,28346.63688733452,28559.557975230506,28751.205540219322,28917.227252364624,29054.0235034558,29158.73372310819,29229.174933681497,29263.74461462139,29261.302809927147,29221.048622960225
CHN,Male,IHD,diet,558923.1504059138,0.0,33149.76247303258,0.0,326.74064082535915,790.8725909912027,1463.3655047258362,2413.0139046842232,3682.6852050542366,5266.187779300148,7104.083541480126,9103.400694836397,11166.728296429152,13213.578466039151,15188.395932523767,17058.920759591274,18810.454895915696,20439.695958843455,21949.717225440312,23346.44385638577,24636.45294307731,25825.7765769877,26919.393926501274,27921.15482631349,28833.94136176235,29659.93113841419,30400.872861534357,31058.321557380492,31633.80827310984,32128.93862038036,32545.427326828707,32885.08326752507,33149.76247303258
CHN,Male,IHD,combo,1365676.3895177236,11842.29136567656,61613.182424493134,11842.29136567656,29794.51109054638,29784.66306856065,29807.261494773207,30134.329230793053,30860.264798554592,32002.462346055545,33507.85945165134,35279.3112535784,37209.41531489999,39205.15596653987,41198.06076658913,43143.75717457896,45016.68934888323,46803.921183593106,48499.858830177225,50102.43383023213,51610.68501920649,53023.45882058283,54338.90613986994,55554.48491722322,56667.23358842381,57674.14192207041,58572.50286536105,59360.1779136511,60035.74731355137,60598.544778080424,61048.59499054402,61386.482308982406,61613.182424493134
CHN,Female,IHD,glp1,732633.3043731635,10176.837065545144,28895.506299581146,10176.837065545144,24958.32516604429,24210.93751944299,23486.595404028543,22905.82062409958,22476.852091340697,22196.111550915637,22052.691697424627,22031.234276236617,22114.513056747965,22285.415574390674,22528.194459210616,22829.039791536285,23176.132225104026,23559.373014519806,23969.971789453295,24400.02959992818,24842.202925471123,25289.486916747177,25735.119801235618,26172.587080382276,26595.692809088156,26998.663278386695,27376.25275339,27723.828691416187,28037.422772110207,28313.74247257877,28550.144816308282,28744.57885049889,28895.506299581146
CHN,Female,IHD,diet,528361.6949786335,0.0,33215.77064665663,0.0,270.7517271172255,662.3084876200883,1235.740712132305,2050.645231931354,3145.715114341234,4519.6256913340185,6127.277924149064,7895.410440651816,9745.795909051783,11612.308481342625,13447.489007190918,15221.6117508756,16918.58896697976,18531.4958599041,20058.8776529514,21502.088259009062,22863.545084741432,24145.690924421884,25350.46256904141,26479.101710252464,27532.180813202634,28509.748381365323,29411.5241845611,30237.096538908314,30986.091386424843,31658.297135080444,32253.74020549562,32772.71418189909,33215.77064665663
CHN,Female,IHD,combo,1246563.3703770973,10176.837065545144,61298.766954005,10176.837065545144,25218.854858513456,24848.26111748838,24676.785395629006,24882.62846629857,25511.738174263737,26559.768333989312,27972.79977817496,29665.122287360136,31544.10927845142,33528.67811320315,35556.9513197724,37586.017337746685,39588.10363682045,41546.03438363108,43449.277473893366,45290.965762517415,47065.87306888122,48769.186416568,50395.886534929276,51940.558816586854,53397.48043196136,54760.85726076318,56025.11336436821,57185.16393682803,58236.62844205415,59175.96269730851,60000.50617821189,60708.45349133294,61298.766954005
IND,Male,IHD,glp1,477799.8854808557,6178.946478709229,17861.0538118931,6178.946478709229,15477.866542749573,15303.303952554124,15132.732169072493,15018.07915168174,14952.718933002325,14930.478967383271,14946.37658440962,14996.279302498093,15076.608601660351,15184.110632373602,15315.68544679624,15468.264177289093,15638.724604630144,15823.83717423398,16020.235102950828,16224.403593765106,16432.68430077657,16641.29207454389,16846.341698977165,17043.882835838012,17229.941744429525,17400.568558006315,17551.888988832943,17680.159318201942,17781.823430750985,17853.570505904034,17892.391819897108,17895.634977044305,17861.0538118931
IND,Male,IHD,diet,444832.02891782636,0.0,25439.974373718258,0.0,285.7411334643839,702.9614425745094,1307.6969763351372,2150.854455567198,3257.5145794658456,4609.870304657961,6148.024717968889,7789.647707772441,9454.407504652743,11079.705986443674,12624.930677357828,14068.477642955491,15402.338579138042,16626.987175217597,17747.506286809687,18770.98622927931,19704.918847436784,20556.28344724956,21331.081903886283,22034.152501148637,22669.150556324515,23238.625204388052,23744.148946464527,24186.47376686195,24565.698148840107,24881.43557755486,25132.978725152556,25319.455519139534,25439.974373718258
IND,Male,IHD,combo,915391.27723582,6178.946478709229,42962.55085290526,6178.946478709229,15756.835489095422,15989.4780753901,16409.721054728143,17119.417708436376,18136.752596268198,19438.529251536587,20961.581924994127,22621.532751013176,24336.315483149257,26041.342617249582,27693.552803777857,29268.44614904048,30754.760433515068,32149.44900014461,33453.87840135093,34671.276520877145,35805.16320985905,36858.46678392426,37833.08887655474,38729.75032332144,39548.00771300262,40286.37052338128,40942.475300164195,41513.29005517275,41995.33222122234,42384.88946562889,42678.23603479541,42871.83913661144,42962.55085290526
IND,Female,IHD,glp1,373103.3260839911,3981.24894956802,14383.560703916708,3981.24894956802,10368.210128156585,10477.252081736224,10592.320293556899,10737.188223265694,10902.891357157263,11083.27936381509,11274.102082523634,11472.287824914441,11675.550506169093,11882.129529543803,12090.593911692617,12299.688672879012,12508.21531696443,12714.941746776807,12918.537819475285,13117.53313929704,13310.294068649877,13495.017320614425,13669.737823084812,13832.348787365132,13980.632068014122,14112.296976227663,14225.025723401457,14316.523645749083,14384.572318495717,14427.083633526461,14442.152910448378,14428.109157005325,14383.560703916708
IND,Female,IHD,diet,385946.06672644103,0.0,22250.843668686226,0.0,267.8950921854703,649.727887408575,1195.9708572046366,1950.4843912707875,2932.499304082594,4122.375365543412,5463.891135777347,6883.088106767624,8310.283695955877,9693.318387227599,11000.241204412421,12215.792375441408,13336.128096531029,14364.144518277491,15306.096337277675,16169.4231685868,16961.47190354555,17688.813866067096,18356.93128257699,18970.122310916544,19531.530084145954,20043.238939675037,20506.40474673966,20921.40054835449,21287.967026339844,21605.361908740364,21872.50486841891,22088.115648283623,22250.843668686226
IND,Female,IHD,combo,752984.9282727285,3981.24894956802,36346.521383784246,3981.24894956802,10629.75599203736,11111.621109607513,11760.660774877644,12643.665581832756,13770.744175432483,15116.89379435021,16623.212084052968,18214.483843076858,19820.261054827017,21387.58563667815,22883.49174487556,24291.48390847305,25606.30784959963,26829.312646210194,27965.08706130495,29019.289061886724,29997.36598904268,30903.87147774303,31742.15803936671,32514.296594904154,33221.12884870928,33862.39509077661,34436.90313636919,34942.71803786047,35377.36027089879,35738.00458543468,36021.67410109681,36225.42544805072,36346.521383784246
BRA,Male,IHD,glp1,201537.2827195463,2138.7182487624523,7560.458984907513,2138.7182487624523,5455.62259773376,5600.451101614803,5728.589683611179,5857.0756011099875,5984.041657108275,6108.266829309243,6229.149685830111,6346.4425805640785,6460.074965071428,6570.042084473622,6676.3369746390235,6778.9102994635905,6877.647631709464,6972.3574448576255,7062.765655023206,7148.514302104784,7229.163104167921,7304.193325043161,7373.0137889907055,7434.969054249668,7489.349792042602,7535.40536354651,7572.358484499797,7599.42174436737,7615.815624609706,7620.787552457652,7613.631441713282,7593.707115963771,7560.458984907513
BRA,Male,IHD,diet,63706.64734124944,0.0,3805.573590137821,0.0,33.43117395201989,83.80928615818266,158.148648909264,263.14683866025007,402.767489372156,576.1257222122513,777.2996829560725,997.2915156509262,1226.6783591606218,1457.4682819083537,1683.7753855376795,1901.6973080160824,2108.8757363627956,2304.031431863332,2486.5872777422483,2656.3974520736374,2813.5652931085206,2958.325659275928,3090.97109484105,3211.8067364644958,3321.1238147257827,3419.185206024733,3506.218909117306,3582.4168609785847,3647.9374493412324,3702.9106361573504,3747.444924305106,3781.6355762356543,3805.573590137821
