iso3,arm,coverage,med,yr
AUS,combo,0.20,142.64795796849603,1
AUS,combo,0.50,356.6198949212453,1
AUS,combo,afford,713.2397898424888,1
AUS,diet,0.20,0.0,1
AUS,diet,0.50,0.0,1
AUS,diet,afford,0.0,1
AUS,glp1,0.20,142.64795796849603,1
AUS,glp1,0.50,356.6198949212453,1
AUS,glp1,afford,713.2397898424888,1
BGD,combo,0.20,411.933807014153,1
BGD,combo,0.50,1029.834517535346,1
BGD,combo,afford,1647.73522805663,1
BGD,diet,0.20,0.0,1
BGD,diet,0.50,0.0,1
BGD,diet,afford,0.0,1
BGD,glp1,0.20,411.933807014153,1
BGD,glp1,0.50,1029.834517535346,1
BGD,glp1,afford,1647.73522805663,1
BGR,combo,0.20,180.3520298710337,1
BGR,combo,0.50,450.880074677596,1
BGR,combo,afford,901.7601493551884,1
BGR,diet,0.20,0.0,1
BGR,diet,0.50,0.0,1
BGR,diet,afford,0.0,1
BGR,glp1,0.20,180.3520298710337,1
BGR,glp1,0.50,450.880074677596,1
BGR,glp1,afford,901.7601493551884,1
BRA,combo,0.20,1056.774749113276,1
BRA,combo,0.50,2641.936872783248,1
BRA,combo,afford,5283.87374556646,1
BRA,diet,0.20,0.0,1
BRA,diet,0.50,0.0,1
BRA,diet,afford,0.0,1
BRA,glp1,0.20,1056.774749113276,1
BRA,glp1,0.50,2641.936872783248,1
BRA,glp1,afford,5283.87374556646,1
CAN,combo,0.20,258.23211686837567,1
CAN,combo,0.50,645.5802921709419,1
CAN,combo,afford,1291.1605843418793,1
CAN,diet,0.20,0.0,1
CAN,diet,0.50,0.0,1
CAN,diet,afford,0.0,1
CAN,glp1,0.20,258.23211686837567,1
CAN,glp1,0.50,645.5802921709419,1
CAN,glp1,afford,1291.1605843418793,1
CHN,combo,0.20,6302.246515669336,1
CHN,combo,0.50,15755.616289172149,1
CHN,combo,afford,31511.23257834441,1
CHN,diet,0.20,0.0,1
CHN,diet,0.50,0.0,1
CHN,diet,afford,0.0,1
CHN,glp1,0.20,6302.246515669336,1
CHN,glp1,0.50,15755.616289172149,1
CHN,glp1,afford,31511.23257834441,1
DEU,combo,0.20,998.4560482079688,1
DEU,combo,0.50,2496.140120519911,1
DEU,combo,afford,4992.280241039764,1
DEU,diet,0.20,0.0,1
DEU,diet,0.50,0.0,1
DEU,diet,afford,0.0,1
DEU,glp1,0.20,998.4560482079688,1
DEU,glp1,0.50,2496.140120519911,1
DEU,glp1,afford,4992.280241039764,1
EGY,combo,0.20,1588.0353923225591,1
EGY,combo,0.50,3970.088480806382,1
EGY,combo,afford,7940.176961612844,1
EGY,diet,0.20,0.0,1
EGY,diet,0.50,0.0,1
EGY,diet,afford,0.0,1
EGY,glp1,0.20,1588.0353923225591,1
EGY,glp1,0.50,3970.088480806382,1
EGY,glp1,afford,7940.176961612844,1
GBR,combo,0.20,571.5504563604754,1
GBR,combo,0.50,1428.8761409011786,1
GBR,combo,afford,2857.752281802348,1
GBR,diet,0.20,0.0,1
GBR,diet,0.50,0.0,1
GBR,diet,afford,0.0,1
GBR,glp1,0.20,571.5504563604754,1
GBR,glp1,0.50,1428.8761409011786,1
GBR,glp1,afford,2857.752281802348,1
GLB,combo,0.20,33390.07829626626,1
GLB,combo,0.50,83475.1957406674,1
GLB,combo,afford,166950.39148133365,1
GLB,diet,0.20,0.0,1
GLB,diet,0.50,0.0,1
GLB,diet,afford,0.0,1
GLB,glp1,0.20,33390.07829626626,1
GLB,glp1,0.50,83475.1957406674,1
GLB,glp1,afford,166950.39148133365,1
IND,combo,0.20,2638.812970883737,1
IND,combo,0.50,6597.032427208789,1
IND,combo,afford,13194.064854418337,1
IND,diet,0.20,0.0,1
IND,diet,0.50,0.0,1
IND,diet,afford,0.0,1
IND,glp1,0.20,2638.812970883737,1
IND,glp1,0.50,6597.032427208789,1
IND,glp1,afford,13194.064854418337,1
ISR,combo,0.20,32.56287667584513,1
ISR,combo,0.50,81.40719168961357,1
ISR,combo,afford,162.8143833792277,1
ISR,diet,0.20,0.0,1
ISR,diet,0.50,0.0,1
ISR,diet,afford,0.0,1
ISR,glp1,0.20,32.56287667584513,1
ISR,glp1,0.50,81.40719168961357,1
ISR,glp1,afford,162.8143833792277,1
JPN,combo,0.20,507.2496455408837,1
JPN,combo,0.50,1268.1241138522164,1
JPN,combo,afford,2536.24822770444,1
JPN,diet,0.20,0.0,1
JPN,diet,0.50,0.0,1
JPN,diet,afford,0.0,1
JPN,glp1,0.20,507.2496455408837,1
JPN,glp1,0.50,1268.1241138522164,1
JPN,glp1,afford,2536.24822770444,1
MEX,combo,0.20,806.160508521014,1
MEX,combo,0.50,2015.4012713025656,1
MEX,combo,afford,4030.802542605136,1
MEX,diet,0.20,0.0,1
MEX,diet,0.50,0.0,1
MEX,diet,afford,0.0,1
MEX,glp1,0.20,806.160508521014,1
MEX,glp1,0.50,2015.4012713025656,1
MEX,glp1,afford,4030.802542605136,1
NGA,combo,0.20,392.4595390360992,1
NGA,combo,0.50,981.1488475902916,1
NGA,combo,afford,784.9190780722274,1
NGA,diet,0.20,0.0,1
NGA,diet,0.50,0.0,1
NGA,diet,afford,0.0,1
NGA,glp1,0.20,392.4595390360992,1
NGA,glp1,0.50,981.1488475902916,1
NGA,glp1,afford,784.9190780722274,1
NZL,combo,0.20,40.386267490496834,1
NZL,combo,0.50,100.96566872624136,1
NZL,combo,afford,201.9313374524819,1
NZL,diet,0.20,0.0,1
NZL,diet,0.50,0.0,1
NZL,diet,afford,0.0,1
NZL,glp1,0.20,40.386267490496834,1
NZL,glp1,0.50,100.96566872624136,1
NZL,glp1,afford,201.9313374524819,1
ROU,combo,0.20,378.3505195602829,1
ROU,combo,0.50,945.8762989006956,1
ROU,combo,afford,1891.7525978014053,1
ROU,diet,0.20,0.0,1
ROU,diet,0.50,0.0,1
ROU,diet,afford,0.0,1
ROU,glp1,0.20,378.3505195602829,1
ROU,glp1,0.50,945.8762989006956,1
ROU,glp1,afford,1891.7525978014053,1
TUR,combo,0.20,799.6718862495309,1
TUR,combo,0.50,1999.179715623812,1
TUR,combo,afford,3998.3594312476102,1
TUR,diet,0.20,0.0,1
TUR,diet,0.50,0.0,1
TUR,diet,afford,0.0,1
TUR,glp1,0.20,799.6718862495309,1
TUR,glp1,0.50,1999.179715623812,1
TUR,glp1,afford,3998.3594312476102,1
USA,combo,0.20,3050.05309444476,1
USA,combo,0.50,7625.132736111926,1
USA,combo,afford,15250.265472223648,1
USA,diet,0.20,0.0,1
USA,diet,0.50,0.0,1
USA,diet,afford,0.0,1
USA,glp1,0.20,3050.05309444476,1
USA,glp1,0.50,7625.132736111926,1
USA,glp1,afford,15250.265472223648,1
ZAF,combo,0.20,195.16253132328347,1
ZAF,combo,0.50,487.9063283082087,1
ZAF,combo,afford,780.6501252931257,1
ZAF,diet,0.20,0.0,1
ZAF,diet,0.50,0.0,1
ZAF,diet,afford,0.0,1
ZAF,glp1,0.20,195.16253132328347,1
ZAF,glp1,0.50,487.9063283082087,1
ZAF,glp1,afford,780.6501252931257,1
AUS,combo,0.20,517.8089897228879,2
AUS,combo,0.50,1274.5223068929145,2
AUS,combo,afford,2535.2984916405453,2
AUS,diet,0.20,13.23027564226686,2
AUS,diet,0.50,13.23027564226686,2
AUS,diet,afford,13.23027564226686,2
AUS,glp1,0.20,504.7986650920852,2
AUS,glp1,0.50,1261.8390927653877,2
AUS,glp1,afford,2523.152952314665,2
BGD,combo,0.20,1577.250692581444,2
BGD,combo,0.50,3684.4078810875344,2
BGD,combo,afford,5791.712173685316,2
BGD,diet,0.20,172.56095807268957,2
BGD,diet,0.50,172.56095807268957,2
BGD,diet,afford,172.56095807268957,2
BGD,glp1,0.20,1405.7402186329782,2
BGD,glp1,0.50,3514.468231061851,2
BGD,glp1,afford,5623.337464866159,2
BGR,combo,0.20,656.4155532287398,2
BGR,combo,0.50,1595.7017767592488,2
BGR,combo,afford,3161.440821150687,2
BGR,diet,0.20,30.29023883522541,2
BGR,diet,0.50,30.29023883522541,2
BGR,diet,afford,30.29023883522541,2
BGR,glp1,0.20,626.5798529125645,2
BGR,glp1,0.50,1566.5426508657688,2
BGR,glp1,afford,3133.3953636793094,2
BRA,combo,0.20,3904.594436921183,2
BRA,combo,0.50,9613.972149148723,2
BRA,combo,afford,19124.408597725676,2
BRA,diet,0.20,97.04436081899983,2
BRA,diet,0.50,97.04436081899983,2
BRA,diet,afford,97.04436081899983,2
BRA,glp1,0.20,3809.083351886529,2
BRA,glp1,0.50,9520.74264585138,2
BRA,glp1,afford,19034.932845486102,2
CAN,combo,0.20,909.1699201054498,2
CAN,combo,0.50,2255.033942188342,2
CAN,combo,afford,4498.031637617258,2
CAN,diet,0.20,11.899986706231177,2
CAN,diet,0.50,11.899986706231177,2
CAN,diet,afford,11.899986706231177,2
CAN,glp1,0.20,897.4539695073827,2
CAN,glp1,0.50,2243.591909151475,2
CAN,glp1,afford,4487.040436246317,2
CHN,combo,0.20,23914.37595468991,2
CHN,combo,0.50,57581.89455463071,2
CHN,combo,afford,113687.99495014251,2
CHN,diet,0.20,1467.7559036309249,2
