iso3,outcome,averted_10yr,gdd_var
AUS,CKD,5619.576308377827,v01
AUS,IHD,37799.0906621387,v01
AUS,IschStroke,12597.40304901007,v01
BGD,CKD,14800.557168730687,v01
BGD,IHD,307337.706667452,v01
BGD,IschStroke,143836.79794071522,v01
BGR,CKD,1269.3826493965528,v01
BGR,IHD,23365.935392945335,v01
BGR,IschStroke,19111.23560159177,v01
BRA,CKD,41852.46386713412,v01
BRA,IHD,284694.39253017405,v01
BRA,IschStroke,134187.66282286576,v01
CAN,CKD,9150.885396180647,v01
CAN,IHD,50324.61948932748,v01
CAN,IschStroke,19210.058979827485,v01
CHN,CKD,119017.16091370909,v01
CHN,IHD,2737835.361530327,v01
CHN,IschStroke,2064502.9758815148,v01
DEU,CKD,30423.50556817512,v01
DEU,IHD,193649.3321636606,v01
DEU,IschStroke,63959.814999225564,v01
EGY,CKD,36055.35133518658,v01
EGY,IHD,238930.44112061046,v01
EGY,IschStroke,58213.117105789424,v01
GBR,CKD,10038.843456201655,v01
GBR,IHD,113170.39344524962,v01
GBR,IschStroke,36797.56575004459,v01
GLB,CKD,1154476.1837159696,v01
GLB,IHD,13832904.87657759,v01
GLB,IschStroke,6769911.965919435,v01
IND,CKD,76507.87606015001,v01
IND,IHD,3753430.232783003,v01
IND,IschStroke,2745701.104168337,v01
ISR,CKD,2990.5634207841836,v01
ISR,IHD,7081.57181040583,v01
ISR,IschStroke,2858.074609802936,v01
JPN,CKD,23552.877528271012,v01
JPN,IHD,147244.93767440377,v01
JPN,IschStroke,120818.2654987615,v01
MEX,CKD,50509.76173209039,v01
MEX,IHD,198233.56736379108,v01
MEX,IschStroke,41366.1540450711,v01
NGA,CKD,26592.881179675045,v01
NGA,IHD,150432.83154246508,v01
NGA,IschStroke,105921.5663849457,v01
NZL,CKD,1039.7395218121937,v01
NZL,IHD,10705.680992104555,v01
NZL,IschStroke,2875.516964634456,v01
ROU,CKD,2579.354109348711,v01
ROU,IHD,49757.84463866743,v01
ROU,IschStroke,32564.090739230607,v01
TUR,CKD,21494.840763205564,v01
TUR,IHD,151116.32324629664,v01
TUR,IschStroke,43708.65747958506,v01
USA,CKD,119994.59485405564,v01
USA,IHD,717988.5902623828,v01
USA,IschStroke,180112.9064932371,v01
ZAF,CKD,10684.095214057399,v01
ZAF,IHD,46020.52992651104,v01
ZAF,IschStroke,96223.3445060135,v01
AUS,CKD,5619.576308377827,v02
AUS,IHD,31416.2556471836,v02
AUS,IschStroke,13683.470460510904,v02
BGD,CKD,14800.557168730687,v02
BGD,IHD,252016.628620446,v02
BGD,IschStroke,160532.3310282032,v02
BGR,CKD,1269.3826493965528,v02
BGR,IHD,18250.08081912022,v02
BGR,IschStroke,16939.653054403898,v02
BRA,CKD,41852.46386713412,v02
BRA,IHD,261501.58643178793,v02
BRA,IschStroke,212595.74368971304,v02
CAN,CKD,9150.885396180647,v02
CAN,IHD,47777.79158905611,v02
CAN,IschStroke,22499.2673595732,v02
CHN,CKD,119017.16091370909,v02
CHN,IHD,1938531.3684188891,v02
CHN,IschStroke,1637549.9829022593,v02
DEU,CKD,30423.50556817512,v02
DEU,IHD,177429.91072428838,v02
DEU,IschStroke,70988.14813038378,v02
EGY,CKD,36055.35133518658,v02
EGY,IHD,208726.4858432725,v02
EGY,IschStroke,54340.801554129794,v02
GBR,CKD,10038.843456201655,v02
GBR,IHD,96197.47378780221,v02
GBR,IschStroke,40552.20957737934,v02
GLB,CKD,1154476.1837159696,v02
GLB,IHD,10235834.201090325,v02
GLB,IschStroke,6184017.514954194,v02
IND,CKD,76507.87606015001,v02
IND,IHD,1904254.3186511153,v02
IND,IschStroke,973694.6403492617,v02
ISR,CKD,2990.5634207841836,v02
ISR,IHD,6737.150396882061,v02
ISR,IschStroke,2813.9706202425045,v02
JPN,CKD,23552.877528271012,v02
JPN,IHD,116370.44488778246,v02
JPN,IschStroke,99823.224346928,v02
MEX,CKD,50509.76173209039,v02
MEX,IHD,178759.5156457246,v02
MEX,IschStroke,60312.88239520493,v02
NGA,CKD,26592.881179675045,v02
NGA,IHD,95094.62732436208,v02
NGA,IschStroke,131541.97163147177,v02
NZL,CKD,1039.7395218121937,v02
NZL,IHD,9215.972404723741,v02
NZL,IschStroke,3194.0069408832505,v02
ROU,CKD,2579.354109348711,v02
ROU,IHD,42004.588656435495,v02
ROU,IschStroke,28622.104815492923,v02
TUR,CKD,21494.840763205564,v02
TUR,IHD,145509.2647280388,v02
TUR,IschStroke,41431.471495763144,v02
USA,CKD,119994.59485405564,v02
USA,IHD,630448.4231076088,v02
USA,IschStroke,190436.0072389049,v02
ZAF,CKD,10684.095214057399,v02
ZAF,IHD,33687.64307516834,v02
ZAF,IschStroke,68243.41711102534,v02
AUS,CKD,5619.576308377827,v05
AUS,IHD,44578.61994217039,v05
AUS,IschStroke,11528.383558740892,v05
BGD,CKD,14800.557168730687,v05
BGD,IHD,267699.1286603485,v05
BGD,IschStroke,72209.14902465812,v05
BGR,CKD,1269.3826493965528,v05
BGR,IHD,28166.498975441536,v05
BGR,IschStroke,14169.276093290748,v05
BRA,CKD,41852.46386713412,v05
BRA,IHD,267039.478554816,v05
BRA,IschStroke,120423.87043440834,v05
CAN,CKD,9150.885396180647,v05
CAN,IHD,58505.48371977338,v05
CAN,IschStroke,18065.741900306966,v05
CHN,CKD,119017.16091370909,v05
CHN,IHD,3017932.1824324615,v05
CHN,IschStroke,1647530.3630949296,v05
DEU,CKD,30423.50556817512,v05
DEU,IHD,307879.6125785888,v05
DEU,IschStroke,59302.15490523466,v05
EGY,CKD,36055.35133518658,v05
EGY,IHD,296706.0472559958,v05
EGY,IschStroke,52798.37081741472,v05
GBR,CKD,10038.843456201655,v05
GBR,IHD,138022.5932832473,v05
GBR,IschStroke,32833.634242942935,v05
GLB,CKD,1154476.1837159696,v05
GLB,IHD,13540742.911162157,v05
GLB,IschStroke,5259655.907925993,v05
IND,CKD,76507.87606015001,v05
IND,IHD,2037783.2477509938,v05
IND,IschStroke,692779.2240965704,v05
ISR,CKD,2990.5634207841836,v05
ISR,IHD,9281.377373649975,v05
ISR,IschStroke,2730.351738586258,v05
JPN,CKD,23552.877528271012,v05
JPN,IHD,122564.15121411896,v05
JPN,IschStroke,93755.4531667528,v05
MEX,CKD,50509.76173209039,v05
MEX,IHD,201908.2351818335,v05
MEX,IschStroke,36785.947456840746,v05
NGA,CKD,26592.881179675045,v05
NGA,IHD,126961.54631199861,v05
NGA,IschStroke,71911.95505420139,v05
NZL,CKD,1039.7395218121937,v05
NZL,IHD,13979.315361450157,v05
NZL,IschStroke,2605.572023187523,v05
ROU,CKD,2579.354109348711,v05
ROU,IHD,85417.31119145927,v05
ROU,IschStroke,27876.214473035485,v05
TUR,CKD,21494.840763205564,v05
TUR,IHD,164830.8199259758,v05
TUR,IschStroke,41905.16904581223,v05
USA,CKD,119994.59485405564,v05
USA,IHD,949386.186371226,v05
USA,IschStroke,164737.8959654135,v05
ZAF,CKD,10684.095214057399,v05
ZAF,IHD,47354.772553678195,v05
ZAF,IschStroke,32077.97875858655,v05
AUS,CKD,5619.576308377827,v06
AUS,IHD,40334.59557868457,v06
AUS,IschStroke,11528.383558740892,v06
BGD,CKD,14800.557168730687,v06
BGD,IHD,459917.6406386832,v06
BGD,IschStroke,72209.14902465812,v06
BGR,CKD,1269.3826493965528,v06
BGR,IHD,28777.916085305027,v06
BGR,IschStroke,14169.276093290748,v06
BRA,CKD,41852.46386713412,v06
BRA,IHD,466538.5953466188,v06
BRA,IschStroke,120423.87043440834,v06
CAN,CKD,9150.885396180647,v06
CAN,IHD,54184.189738724905,v06
CAN,IschStroke,18065.741900306966,v06
CHN,CKD,119017.16091370909,v06
CHN,IHD,2585569.959647378,v06
CHN,IschStroke,1647530.3630949296,v06
DEU,CKD,30423.50556817512,v06
DEU,IHD,221299.8006656569,v06
DEU,IschStroke,59302.15490523466,v06
EGY,CKD,36055.35133518658,v06
EGY,IHD,623496.1193418077,v06
EGY,IschStroke,52798.37081741472,v06
GBR,CKD,10038.843456201655,v06
GBR,IHD,163770.81492866637,v06
GBR,IschStroke,32833.634242942935,v06
GLB,CKD,1154476.1837159696,v06
GLB,IHD,15863313.978761584,v06
GLB,IschStroke,5259655.907925993,v06
IND,CKD,76507.87606015001,v06
IND,IHD,3818281.6041909712,v06
IND,IschStroke,692779.2240965704,v06
ISR,CKD,2990.5634207841836,v06
ISR,IHD,7194.699770843725,v06
ISR,IschStroke,2730.351738586258,v06
JPN,CKD,23552.877528271012,v06
JPN,IHD,175132.7568311543,v06
JPN,IschStroke,93755.4531667528,v06
MEX,CKD,50509.76173209039,v06
MEX,IHD,368076.03265316045,v06
MEX,IschStroke,36785.947456840746,v06
NGA,CKD,26592.881179675045,v06
NGA,IHD,94208.37284868467,v06
NGA,IschStroke,71911.95505420139,v06
NZL,CKD,1039.7395218121937,v06
NZL,IHD,11497.305325318282,v06
NZL,IschStroke,2605.572023187523,v06
ROU,CKD,2579.354109348711,v06
ROU,IHD,103319.51018789534,v06
ROU,IschStroke,27876.214473035485,v06
TUR,CKD,21494.840763205564,v06
TUR,IHD,180086.4022771673,v06
TUR,IschStroke,41905.16904581223,v06
USA,CKD,119994.59485405564,v06
USA,IHD,682600.7932200213,v06
USA,IschStroke,164737.8959654135,v06
ZAF,CKD,10684.095214057399,v06
ZAF,IHD,59667.7227268149,v06
ZAF,IschStroke,32077.97875858655,v06
AUS,CKD,5619.576308377827,v08
AUS,IHD,63391.548468468274,v08
AUS,IschStroke,19157.571008945328,v08
BGD,CKD,14800.557168730687,v08
BGD,IHD,512100.3852267357,v08
BGD,IschStroke,167828.3546064634,v08
BGR,CKD,1269.3826493965528,v08
BGR,IHD,25610.893742448025,v08
BGR,IschStroke,23931.744944855986,v08
BRA,CKD,41852.46386713412,v08
BRA,IHD,419422.4871816784,v08
BRA,IschStroke,198690.12817603216,v08
CAN,CKD,9150.885396180647,v08
CAN,IHD,71294.42911273216,v08
CAN,IschStroke,27021.15923436278,v08
CHN,CKD,119017.16091370909,v08
CHN,IHD,3460363.77280672,v08
CHN,IschStroke,2902502.5543890866,v08
DEU,CKD,30423.50556817512,v08
DEU,IHD,262313.82362495305,v08
DEU,IschStroke,88698.66477571451,v08
EGY,CKD,36055.35133518658,v08
EGY,IHD,277465.68554247665,v08
EGY,IschStroke,66168.08861284064,v08
GBR,CKD,10038.843456201655,v08
GBR,IHD,162276.82552962453,v08
GBR,IschStroke,55184.67018594634,v08
GLB,CKD,1154476.1837159696,v08
GLB,IHD,16932729.282230616,v08
GLB,IschStroke,9269265.785532843,v08
IND,CKD,76507.87606015001,v08
IND,IHD,3074877.155260834,v08
IND,IschStroke,1109025.908360855,v08
ISR,CKD,2990.5634207841836,v08
ISR,IHD,11760.438988856564,v08
ISR,IschStroke,4292.27237537433,v08
JPN,CKD,23552.877528271012,v08
JPN,IHD,186279.78237184955,v08
JPN,IschStroke,150589.1356467463,v08
MEX,CKD,50509.76173209039,v08
MEX,IHD,167820.60737418546,v08
MEX,IschStroke,38428.464993952264,v08
NGA,CKD,26592.881179675045,v08
NGA,IHD,104482.81835860517,v08
NGA,IschStroke,85466.88606473943,v08
NZL,CKD,1039.7395218121937,v08
NZL,IHD,16546.65115361136,v08
NZL,IschStroke,4437.098859317863,v08
ROU,CKD,2579.354109348711,v08
ROU,IHD,65991.53489745127,v08
ROU,IschStroke,49702.6958782084,v08
TUR,CKD,21494.840763205564,v08
TUR,IHD,225143.54898220353,v08
TUR,IschStroke,72876.97084166935,v08
USA,CKD,119994.59485405564,v08
USA,IHD,1084309.2109739874,v08
USA,IschStroke,268510.83428855386,v08
ZAF,CKD,10684.095214057399,v08
ZAF,IHD,31153.39970499622,v08
ZAF,IschStroke,34391.54619314827,v08
AUS,CKD,5619.576308377827,v09
AUS,IHD,29111.627779367394,v09
AUS,IschStroke,11528.383558740892,v09
BGD,CKD,14800.557168730687,v09
BGD,IHD,172418.8300401296,v09
BGD,IschStroke,72209.14902465812,v09
BGR,CKD,1269.3826493965528,v09
BGR,IHD,17310.29208769921,v09
BGR,IschStroke,14169.276093290748,v09
BRA,CKD,41852.46386713412,v09
BRA,IHD,226048.56896098232,v09
BRA,IschStroke,120423.87043440834,v09
CAN,CKD,9150.885396180647,v09
CAN,IHD,44905.727832798264,v09
CAN,IschStroke,18065.741900306966,v09
CHN,CKD,119017.16091370909,v09
CHN,IHD,1949999.8460324812,v09
CHN,IschStroke,1647530.3630949296,v09
DEU,CKD,30423.50556817512,v09
DEU,IHD,167555.66855276717,v09
DEU,IschStroke,59302.15490523466,v09
EGY,CKD,36055.35133518658,v09
EGY,IHD,202923.45870282926,v09
EGY,IschStroke,52798.37081741472,v09
GBR,CKD,10038.843456201655,v09
GBR,IHD,90150.16960339068,v09
GBR,IschStroke,32833.634242942935,v09
GLB,CKD,1154476.1837159696,v09
GLB,IHD,9509604.161323933,v09
GLB,IschStroke,5259655.907925993,v09
IND,CKD,76507.87606015001,v09
IND,IHD,1713027.48582948,v09
IND,IschStroke,692779.2240965704,v09
ISR,CKD,2990.5634207841836,v09
ISR,IHD,6542.404429112774,v09
ISR,IschStroke,2730.351738586258,v09
JPN,CKD,23552.877528271012,v09
JPN,IHD,112813.7050273233,v09
JPN,IschStroke,93755.4531667528,v09
MEX,CKD,50509.76173209039,v09
MEX,IHD,157452.6747916101,v09
MEX,IschStroke,36785.947456840746,v09
NGA,CKD,26592.881179675045,v09
NGA,IHD,80300.25035252441,v09
NGA,IschStroke,71911.95505420139,v09
NZL,CKD,1039.7395218121937,v09
NZL,IHD,8559.940208661134,v09
