risk,mediator,outcome,mf,mf_lo,mf_hi
Lead exposure,High systolic blood pressure,IHD,0.059,0.052,0.068
Lead exposure,High systolic blood pressure,IschStroke,1.0,1.0,1.0
Lead exposure,High systolic blood pressure,ICH,1.0,1.0,1.0
Lead exposure,High systolic blood pressure,SAH,1.0,1.0,1.0
Smoking,High fasting plasma glucose,T2D,1.0,1.0,1.0
Diet low in fruits,High systolic blood pressure,IHD,0.065,0.052,0.08
Diet low in fruits,High LDL cholesterol,IHD,0.065,0.052,0.08
Diet low in fruits,High fasting plasma glucose,IschStroke,0.05,0.04,0.061
Diet low in fruits,High systolic blood pressure,IschStroke,0.05,0.04,0.061
Diet low in fruits,High LDL cholesterol,IschStroke,0.05,0.04,0.061
Diet low in fruits,High systolic blood pressure,ICH,0.024,0.019,0.029
Diet low in fruits,High systolic blood pressure,SAH,0.024,0.019,0.029
Diet low in fruits,High fasting plasma glucose,T2D,1.0,1.0,1.0
Diet low in vegetables,High fasting plasma glucose,IHD,0.063,0.013,0.199
Diet low in vegetables,High systolic blood pressure,IHD,0.041,0.025,0.054
Diet low in vegetables,High LDL cholesterol,IHD,0.041,0.025,0.054
Diet low in vegetables,High fasting plasma glucose,IschStroke,0.083,0.039,0.16
Diet low in vegetables,High systolic blood pressure,IschStroke,0.027,0.016,0.038
Diet low in vegetables,High LDL cholesterol,IschStroke,0.087,0.042,0.156
Diet low in vegetables,High fasting plasma glucose,ICH,0.083,0.039,0.16
Diet low in vegetables,High systolic blood pressure,ICH,0.036,0.022,0.052
Diet low in vegetables,High systolic blood pressure,SAH,0.036,0.022,0.052
Diet low in vegetables,High fasting plasma glucose,T2D,1.0,1.0,1.0
Diet low in whole grains,High LDL cholesterol,IHD,0.385,0.169,0.54
Diet low in whole grains,High LDL cholesterol,IschStroke,0.165,0.054,0.371
Diet low in whole grains,High fasting plasma glucose,T2D,1.0,1.0,1.0
Diet low in nuts and seeds,High LDL cholesterol,IHD,0.196,0.011,0.759
Diet high in red meat,High fasting plasma glucose,T2D,1.0,1.0,1.0
Diet high in processed meat,High fasting plasma glucose,IHD,0.01,0.006,0.016
Diet high in processed meat,High fasting plasma glucose,IschStroke,1.0,1.0,1.0
Diet high in processed meat,High fasting plasma glucose,T2D,1.0,1.0,1.0
Diet high in sugar-sweetened beverages,High fasting plasma glucose,IschStroke,1.0,1.0,1.0
Diet high in sugar-sweetened beverages,High fasting plasma glucose,T2D,1.0,1.0,1.0
Diet low in omega-6 polyunsaturated fatty acids,High LDL cholesterol,IHD,0.002,,0.036
Diet low in omega-6 polyunsaturated fatty acids,High LDL cholesterol,IschStroke,1.0,1.0,1.0
Diet high in trans fatty acids,High LDL cholesterol,IHD,0.15,0.024,0.24
Diet high in sodium,High systolic blood pressure,IHD,1.0,1.0,1.0
Diet high in sodium,High systolic blood pressure,IschStroke,1.0,1.0,1.0
Diet high in sodium,High systolic blood pressure,ICH,1.0,1.0,1.0
Diet high in sodium,High systolic blood pressure,SAH,1.0,1.0,1.0
Low physical activity,High fasting plasma glucose,IHD,0.144,0.115,0.176
Low physical activity,High fasting plasma glucose,IschStroke,0.078,0.032,0.138
Low physical activity,High fasting plasma glucose,T2D,1.0,1.0,1.0
High fasting plasma glucose,High LDL cholesterol,IHD,0.035,0.024,0.049
High fasting plasma glucose,High LDL cholesterol,IschStroke,0.042,0.028,0.062
High body-mass index,High fasting plasma glucose,IHD,0.149,0.098,0.204
High body-mass index,High systolic blood pressure,IHD,0.312,0.281,0.344
High body-mass index,High LDL cholesterol,IHD,0.1,0.053,0.149
High body-mass index,High fasting plasma glucose,IschStroke,0.217,0.122,0.306
High body-mass index,High systolic blood pressure,IschStroke,0.647,0.566,0.724
High body-mass index,High LDL cholesterol,IschStroke,0.034,0.002,0.078
High body-mass index,High fasting plasma glucose,ICH,0.222,0.125,0.325
High body-mass index,High systolic blood pressure,ICH,0.651,0.575,0.727
High body-mass index,High systolic blood pressure,SAH,0.651,0.575,0.727
High body-mass index,High fasting plasma glucose,T2D,1.0,1.0,1.0
Diet low in fruits,High fasting plasma glucose,CKD,0.151,,
Diet low in fruits,High systolic blood pressure,CKD,0.849,,
Diet low in vegetables,High fasting plasma glucose,CKD,0.055,,
Diet low in vegetables,High systolic blood pressure,CKD,0.945,,
Diet low in whole grains,High fasting plasma glucose,CKD,1.0,,
Diet high in red meat,High fasting plasma glucose,CKD,1.0,,
Diet high in processed meat,High fasting plasma glucose,CKD,1.0,,
Diet high in sugar-sweetened beverages,High fasting plasma glucose,CKD,1.0,,
Diet high in sodium,High systolic blood pressure,CKD,1.0,,
