iso3,mediator,sex,baseline
AUS,FPG,Female,5.55
AUS,FPG,Male,5.65
AUS,LDL,Female,3.53
AUS,LDL,Male,3.44
AUS,SBP,Female,128.02
AUS,SBP,Male,129.78
BGD,FPG,Female,5.48
BGD,FPG,Male,5.37
BGD,LDL,Female,2.8
BGD,LDL,Male,2.71
BGD,SBP,Female,123.68
BGD,SBP,Male,123.91
BGR,FPG,Female,5.73
BGR,FPG,Male,5.76
BGR,LDL,Female,3.28
BGR,LDL,Male,3.23
BGR,SBP,Female,136.87
BGR,SBP,Male,137.87
BRA,FPG,Female,5.98
BRA,FPG,Male,5.69
BRA,LDL,Female,2.88
BRA,LDL,Male,2.83
BRA,SBP,Female,128.32
BRA,SBP,Male,131.81
CAN,FPG,Female,5.39
CAN,FPG,Male,5.73
CAN,LDL,Female,3.2
CAN,LDL,Male,3.08
CAN,SBP,Female,125.79
CAN,SBP,Male,126.65
CHN,FPG,Female,5.61
CHN,FPG,Male,5.68
CHN,LDL,Female,3.07
CHN,LDL,Male,3.04
CHN,SBP,Female,129.77
CHN,SBP,Male,130.27
DEU,FPG,Female,5.6
DEU,FPG,Male,5.72
DEU,LDL,Female,3.51
DEU,LDL,Male,3.37
DEU,SBP,Female,131.79
DEU,SBP,Male,134.35
EGY,FPG,Female,5.68
EGY,FPG,Male,5.62
EGY,LDL,Female,2.95
EGY,LDL,Male,2.92
EGY,SBP,Female,128.24
EGY,SBP,Male,128.63
GBR,FPG,Female,6.04
GBR,FPG,Male,6.21
GBR,LDL,Female,3.33
GBR,LDL,Male,3.33
GBR,SBP,Female,126.52
GBR,SBP,Male,132.26
GLB,FPG,Female,5.53
GLB,FPG,Male,5.52
GLB,LDL,Female,2.98
GLB,LDL,Male,2.88
GLB,SBP,Female,127.8
GLB,SBP,Male,129.67
IND,FPG,Female,5.52
IND,FPG,Male,5.45
IND,LDL,Female,2.66
IND,LDL,Male,2.58
IND,SBP,Female,123.93
IND,SBP,Male,127.12
ISR,FPG,Female,5.56
ISR,FPG,Male,5.59
ISR,LDL,Female,3.21
ISR,LDL,Male,3.14
ISR,SBP,Female,129.23
ISR,SBP,Male,132.29
JPN,FPG,Female,5.79
JPN,FPG,Male,5.86
JPN,LDL,Female,3.43
JPN,LDL,Male,3.26
JPN,SBP,Female,127.67
JPN,SBP,Male,132.29
MEX,FPG,Female,6.4
MEX,FPG,Male,6.23
MEX,LDL,Female,3.42
MEX,LDL,Male,3.32
MEX,SBP,Female,120.8
MEX,SBP,Male,127.55
NGA,FPG,Female,5.18
NGA,FPG,Male,5.2
NGA,LDL,Female,2.69
NGA,LDL,Male,2.62
NGA,SBP,Female,132.31
NGA,SBP,Male,132.94
NZL,FPG,Female,5.58
NZL,FPG,Male,5.74
NZL,LDL,Female,3.51
NZL,LDL,Male,3.42
NZL,SBP,Female,124.53
NZL,SBP,Male,130.94
ROU,FPG,Female,5.77
ROU,FPG,Male,6.07
ROU,LDL,Female,3.34
ROU,LDL,Male,3.29
ROU,SBP,Female,136.63
ROU,SBP,Male,138.15
TUR,FPG,Female,5.86
TUR,FPG,Male,5.86
TUR,LDL,Female,2.89
TUR,LDL,Male,2.72
TUR,SBP,Female,128.89
TUR,SBP,Male,129.34
USA,FPG,Female,5.75
USA,FPG,Male,5.8
USA,LDL,Female,3.14
USA,LDL,Male,2.98
USA,SBP,Female,121.86
USA,SBP,Male,124.93
ZAF,FPG,Female,5.71
ZAF,FPG,Male,5.46
ZAF,LDL,Female,2.78
ZAF,LDL,Male,2.51
ZAF,SBP,Female,130.52
ZAF,SBP,Male,132.12
AUS,FPG,Both,5.6
AUS,LDL,Both,3.49
AUS,SBP,Both,128.87
BGD,FPG,Both,5.43
BGD,LDL,Both,2.76
BGD,SBP,Both,123.8
BGR,FPG,Both,5.74
BGR,LDL,Both,3.26
BGR,SBP,Both,137.34
BRA,FPG,Both,5.84
BRA,LDL,Both,2.86
BRA,SBP,Both,129.97
CAN,FPG,Both,5.56
CAN,LDL,Both,3.14
CAN,SBP,Both,126.21
CHN,FPG,Both,5.65
CHN,LDL,Both,3.05
CHN,SBP,Both,130.02
DEU,FPG,Both,5.66
DEU,LDL,Both,3.44
DEU,SBP,Both,133.03
EGY,FPG,Both,5.65
EGY,LDL,Both,2.93
EGY,SBP,Both,128.44
GBR,FPG,Both,6.12
GBR,LDL,Both,3.33
GBR,SBP,Both,129.28
GLB,FPG,Both,5.52
GLB,LDL,Both,2.93
GLB,SBP,Both,128.72
IND,FPG,Both,5.49
IND,LDL,Both,2.62
IND,SBP,Both,125.54
ISR,FPG,Both,5.57
ISR,LDL,Both,3.18
ISR,SBP,Both,130.72
JPN,FPG,Both,5.82
JPN,LDL,Both,3.35
JPN,SBP,Both,129.88
MEX,FPG,Both,6.32
MEX,LDL,Both,3.37
MEX,SBP,Both,124.01
NGA,FPG,Both,5.19
NGA,LDL,Both,2.66
NGA,SBP,Both,132.6
NZL,FPG,Both,5.66
NZL,LDL,Both,3.46
NZL,SBP,Both,127.69
ROU,FPG,Both,5.91
ROU,LDL,Both,3.32
ROU,SBP,Both,137.36
TUR,FPG,Both,5.86
TUR,LDL,Both,2.8
TUR,SBP,Both,129.11
USA,FPG,Both,5.77
USA,LDL,Both,3.06
USA,SBP,Both,123.36
ZAF,FPG,Both,5.59
ZAF,LDL,Both,2.65
ZAF,SBP,Both,131.28
