iso3,IHD,IschStroke,T2D
AUS,0.7002,0.4895,1.0849
BGD,0.7221,0.6177,0.8166
BGR,0.7256,0.8322,1.0093
BRA,0.6924,0.8659,1.1194
CAN,0.6541,0.6566,1.0654
CHN,0.6911,0.8757,1.1682
DEU,0.6411,0.7231,1.0343
EGY,0.7726,0.8337,1.012
GBR,0.7266,0.6242,1.0094
GLB,0.768,0.982,0.9607
IND,0.8381,0.8231,0.9487
ISR,0.5515,0.7075,1.0247
JPN,0.6311,0.5573,0.9419
MEX,0.7544,1.0286,1.1835
NGA,0.7419,0.9185,0.9351
NZL,0.7012,0.6063,1.1233
ROU,0.7758,0.9843,1.0689
TUR,0.5942,0.8923,0.9714
USA,0.6633,0.8014,1.067
ZAF,0.7487,0.7088,1.1052
