Supplementary Table. Cost per death averted: GLP-1 treatment versus dietary policy.
Eligible population = adults 25+ with BMI>=27 (75% of OW prevalence) and prevalent IHD. Dietary policy cost $0.55/adult/year (WHO Best Buys). Deaths averted are medians from 500 MC draws over 30 years.

Country,Coverage,Price scenario,Annual price (USD),Eligible population,Treated population,30yr drug cost (M USD),GLP-1 deaths averted,Diet deaths averted,GLP-1 cost/death (USD),Diet cost/death (USD),Ratio GLP-1/Diet
AUS,20%,Branded,3350,359701,71940,7230.0,16127,20204,448315,15419,29.1
AUS,20%,Generic $140/yr,140,359701,71940,302.1,16127,20204,18736,15419,1.2
AUS,20%,Generic $28/yr,28,359701,71940,60.4,16127,20204,3747,15419,0.2
AUS,50%,Branded,3350,359701,179850,18075.0,40386,20204,447555,15419,29.0
AUS,50%,Generic $140/yr,140,359701,179850,755.4,40386,20204,18704,15419,1.2
AUS,50%,Generic $28/yr,28,359701,179850,151.1,40386,20204,3741,15419,0.2
BGD,20%,Branded,3350,318244,63649,6396.7,32683,225851,195720,6621,29.6
BGD,20%,Generic $140/yr,140,318244,63649,267.3,32683,225851,8179,6621,1.2
BGD,20%,Generic $28/yr,28,318244,63649,53.5,32683,225851,1636,6621,0.2
BGD,50%,Branded,3350,318244,159122,15991.8,81793,225851,195515,6621,29.5
BGD,50%,Generic $140/yr,140,318244,159122,668.3,81793,225851,8171,6621,1.2
BGD,50%,Generic $28/yr,28,318244,159122,133.7,81793,225851,1634,6621,0.2
BGR,20%,Branded,3350,268302,53660,5392.9,10414,21934,517849,4001,129.4
BGR,20%,Generic $140/yr,140,268302,53660,225.4,10414,21934,21641,4001,5.4
BGR,20%,Generic $28/yr,28,268302,53660,45.1,10414,21934,4328,4001,1.1
BGR,50%,Branded,3350,268302,134151,13482.2,26117,21934,516223,4001,129.0
BGR,50%,Generic $140/yr,140,268302,134151,563.4,26117,21934,21573,4001,5.4
BGR,50%,Generic $28/yr,28,268302,134151,112.7,26117,21934,4315,4001,1.1
BRA,20%,Branded,3350,1785616,357123,35890.9,128906,194220,278427,11761,23.7
BRA,20%,Generic $140/yr,140,1785616,357123,1499.9,128906,194220,11636,11761,1.0
BRA,20%,Generic $28/yr,28,1785616,357123,300.0,128906,194220,2327,11761,0.2
BRA,50%,Branded,3350,1785616,892808,89727.2,322578,194220,278157,11761,23.7
BRA,50%,Generic $140/yr,140,1785616,892808,3749.8,322578,194220,11624,11761,1.0
BRA,50%,Generic $28/yr,28,1785616,892808,750.0,322578,194220,2325,11761,0.2
CAN,20%,Branded,3350,1016930,203386,20440.3,23656,22840,864064,20116,43.0
CAN,20%,Generic $140/yr,140,1016930,203386,854.2,23656,22840,36110,20116,1.8
CAN,20%,Generic $28/yr,28,1016930,203386,170.8,23656,22840,7222,20116,0.4
CAN,50%,Branded,3350,1016930,508465,51100.7,59195,22840,863261,20116,42.9
CAN,50%,Generic $140/yr,140,1016930,508465,2135.6,59195,22840,36077,20116,1.8
CAN,50%,Generic $28/yr,28,1016930,508465,427.1,59195,22840,7215,20116,0.4
CHN,20%,Branded,3350,15151209,3030242,304539.3,587102,2651249,518716,6393,81.1
CHN,20%,Generic $140/yr,140,15151209,3030242,12727.0,587102,2651249,21678,6393,3.4
CHN,20%,Generic $28/yr,28,15151209,3030242,2545.4,587102,2651249,4336,6393,0.7
CHN,50%,Branded,3350,15151209,7575604,761348.2,1468771,2651249,518357,6393,81.1
CHN,50%,Generic $140/yr,140,15151209,7575604,31817.5,1468771,2651249,21663,6393,3.4
CHN,50%,Generic $28/yr,28,15151209,7575604,6363.5,1468771,2651249,4333,6393,0.7
DEU,20%,Branded,3350,2803260,560652,56345.5,86877,78131,648567,13515,48.0
DEU,20%,Generic $140/yr,140,2803260,560652,2354.7,86877,78131,27104,13515,2.0
DEU,20%,Generic $28/yr,28,2803260,560652,470.9,86877,78131,5421,13515,0.4
DEU,50%,Branded,3350,2803260,1401630,140863.8,217573,78131,647433,13515,47.9
DEU,50%,Generic $140/yr,140,2803260,1401630,5886.8,217573,78131,27057,13515,2.0
DEU,50%,Generic $28/yr,28,2803260,1401630,1177.4,217573,78131,5411,13515,0.4
EGY,20%,Branded,3350,2383333,476667,47905.0,124213,70681,385668,12353,31.2
EGY,20%,Generic $140/yr,140,2383333,476667,2002.0,124213,70681,16117,12353,1.3
EGY,20%,Generic $28/yr,28,2383333,476667,400.4,124213,70681,3223,12353,0.3
EGY,50%,Branded,3350,2383333,1191667,119762.5,311851,70681,384038,12353,31.1
EGY,50%,Generic $140/yr,140,2383333,1191667,5005.0,311851,70681,16049,12353,1.3
EGY,50%,Generic $28/yr,28,2383333,1191667,1001.0,311851,70681,3210,12353,0.3
GBR,20%,Branded,3350,1612882,322576,32418.9,46517,47215,696926,17193,40.5
GBR,20%,Generic $140/yr,140,1612882,322576,1354.8,46517,47215,29125,17193,1.7
GBR,20%,Generic $28/yr,28,1612882,322576,271.0,46517,47215,5825,17193,0.3
GBR,50%,Branded,3350,1612882,806441,81047.3,116438,47215,696056,17193,40.5
GBR,50%,Generic $140/yr,140,1612882,806441,3387.1,116438,47215,29089,17193,1.7
GBR,50%,Generic $28/yr,28,1612882,806441,677.4,116438,47215,5818,17193,0.3
IND,20%,Branded,3350,3080159,616032,61911.2,244264,1240979,253460,10838,23.4
IND,20%,Generic $140/yr,140,3080159,616032,2587.3,244264,1240979,10592,10838,1.0
IND,20%,Generic $28/yr,28,3080159,616032,517.5,244264,1240979,2118,10838,0.2
IND,50%,Branded,3350,3080159,1540080,154778.0,610978,1240979,253328,10838,23.4
IND,50%,Generic $140/yr,140,3080159,1540080,6468.3,610978,1240979,10587,10838,1.0
IND,50%,Generic $28/yr,28,3080159,1540080,1293.7,610978,1240979,2117,10838,0.2
ISR,20%,Branded,3350,110736,22147,2225.8,4398,4266,506090,22085,22.9
ISR,20%,Generic $140/yr,140,110736,22147,93.0,4398,4266,21150,22085,1.0
ISR,20%,Generic $28/yr,28,110736,22147,18.6,4398,4266,4230,22085,0.2
ISR,50%,Branded,3350,110736,55368,5564.5,11016,4266,505125,22085,22.9
ISR,50%,Generic $140/yr,140,110736,55368,232.5,11016,4266,21110,22085,1.0
ISR,50%,Generic $28/yr,28,110736,55368,46.5,11016,4266,4222,22085,0.2
JPN,20%,Branded,3350,1615098,323020,32463.5,37137,91421,874154,17811,49.1
JPN,20%,Generic $140/yr,140,1615098,323020,1356.7,37137,91421,36532,17811,2.1
JPN,20%,Generic $28/yr,28,1615098,323020,271.3,37137,91421,7306,17811,0.4
JPN,50%,Branded,3350,1615098,807549,81158.7,92899,91421,873623,17811,49.0
JPN,50%,Generic $140/yr,140,1615098,807549,3391.7,92899,91421,36510,17811,2.0
JPN,50%,Generic $28/yr,28,1615098,807549,678.3,92899,91421,7302,17811,0.4
MEX,20%,Branded,3350,1924552,384910,38683.5,91722,54390,421747,23933,17.6
MEX,20%,Generic $140/yr,140,1924552,384910,1616.6,91722,54390,17625,23933,0.7
MEX,20%,Generic $28/yr,28,1924552,384910,323.3,91722,54390,3525,23933,0.1
MEX,50%,Branded,3350,1924552,962276,96708.7,230067,54390,420350,23933,17.6
MEX,50%,Generic $140/yr,140,1924552,962276,4041.6,230067,54390,17567,23933,0.7
MEX,50%,Generic $28/yr,28,1924552,962276,808.3,230067,54390,3513,23933,0.1
NGA,20%,Branded,3350,476956,95391,9586.8,38822,15601,246943,92650,2.7
NGA,20%,Generic $140/yr,140,476956,95391,400.6,38822,15601,10320,92650,0.1
NGA,20%,Generic $28/yr,28,476956,95391,80.1,38822,15601,2064,92650,0.0
NGA,50%,Branded,3350,476956,238478,23967.1,97258,15601,246428,92650,2.7
NGA,50%,Generic $140/yr,140,476956,238478,1001.6,97258,15601,10298,92650,0.1
NGA,50%,Generic $28/yr,28,476956,238478,200.3,97258,15601,2060,92650,0.0
NZL,20%,Branded,3350,112549,22510,2262.2,4493,4983,503502,11590,43.4
NZL,20%,Generic $140/yr,140,112549,22510,94.5,4493,4983,21042,11590,1.8
NZL,20%,Generic $28/yr,28,112549,22510,18.9,4493,4983,4208,11590,0.4
NZL,50%,Branded,3350,112549,56274,5655.6,11248,4983,502808,11590,43.4
NZL,50%,Generic $140/yr,140,112549,56274,236.4,11248,4983,21013,11590,1.8
NZL,50%,Generic $28/yr,28,112549,56274,47.3,11248,4983,4203,11590,0.4
ROU,20%,Branded,3350,449406,89881,9033.1,22659,62462,398653,3737,106.7
ROU,20%,Generic $140/yr,140,449406,89881,377.5,22659,62462,16660,3737,4.5
ROU,20%,Generic $28/yr,28,449406,89881,75.5,22659,62462,3332,3737,0.9
ROU,50%,Branded,3350,449406,224703,22582.7,56851,62462,397226,3737,106.3
ROU,50%,Generic $140/yr,140,449406,224703,943.8,56851,62462,16600,3737,4.4
ROU,50%,Generic $28/yr,28,449406,224703,188.8,56851,62462,3320,3737,0.9
TUR,20%,Branded,3350,2113652,422730,42484.4,85240,64633,498409,13917,35.8
TUR,20%,Generic $140/yr,140,2113652,422730,1775.5,85240,64633,20829,13917,1.5
TUR,20%,Generic $28/yr,28,2113652,422730,355.1,85240,64633,4166,13917,0.3
TUR,50%,Branded,3350,2113652,1056826,106211.0,213708,64633,496991,13917,35.7
TUR,50%,Generic $140/yr,140,2113652,1056826,4438.7,213708,64633,20770,13917,1.5
TUR,50%,Generic $28/yr,28,2113652,1056826,887.7,213708,64633,4154,13917,0.3
USA,20%,Branded,3350,9341677,1868335,187767.7,323515,361148,580399,10593,54.8
USA,20%,Generic $140/yr,140,9341677,1868335,7847.0,323515,361148,24255,10593,2.3
USA,20%,Generic $28/yr,28,9341677,1868335,1569.4,323515,361148,4851,10593,0.5
USA,50%,Branded,3350,9341677,4670838,469419.3,810613,361148,579092,10593,54.7
USA,50%,Generic $140/yr,140,9341677,4670838,19617.5,810613,361148,24201,10593,2.3
USA,50%,Generic $28/yr,28,9341677,4670838,3923.5,810613,361148,4840,10593,0.5
ZAF,20%,Branded,3350,661405,132281,13294.2,22105,2544,601413,241451,2.5
ZAF,20%,Generic $140/yr,140,661405,132281,555.6,22105,2544,25134,241451,0.1
ZAF,20%,Generic $28/yr,28,661405,132281,111.1,22105,2544,5027,241451,0.0
ZAF,50%,Branded,3350,661405,330702,33235.6,55363,2544,600321,241451,2.5
ZAF,50%,Generic $140/yr,140,661405,330702,1389.0,55363,2544,25088,241451,0.1
ZAF,50%,Generic $28/yr,28,661405,330702,277.8,55363,2544,5018,241451,0.0
