Supplementary Table. Sensitivity of mediated convergence to the method of combining mediation fractions.
"Three approaches were compared: additive [C = min(1, sum of mf)], maximum [C = max(mf)], and multiplicative [C = 1 - product(1 - mf)]. Mediation fractions (mf) from the GBD 2023 mediation matrix through SBP, FPG, and LDL-C. This convergence measure is used for the descriptive pathway decomposition (Figure 2) only."

Dietary risk factor,Outcome,Mediators,C additive (base case),C maximum,C multiplicative
Diet high in processed meat,CKD,High fasting plasma glucose (1.000),1.0,1.0,1.0
Diet high in processed meat,IHD,High fasting plasma glucose (0.010),0.01,0.01,0.01
Diet high in processed meat,IschStroke,High fasting plasma glucose (1.000),1.0,1.0,1.0
Diet high in processed meat,T2D,High fasting plasma glucose (1.000),1.0,1.0,1.0
Diet high in red meat,CKD,High fasting plasma glucose (1.000),1.0,1.0,1.0
Diet high in red meat,T2D,High fasting plasma glucose (1.000),1.0,1.0,1.0
Diet high in sodium,CKD,High systolic blood pressure (1.000),1.0,1.0,1.0
Diet high in sodium,ICH,High systolic blood pressure (1.000),1.0,1.0,1.0
Diet high in sodium,IHD,High systolic blood pressure (1.000),1.0,1.0,1.0
Diet high in sodium,IschStroke,High systolic blood pressure (1.000),1.0,1.0,1.0
Diet high in sodium,SAH,High systolic blood pressure (1.000),1.0,1.0,1.0
Diet high in sugar-sweetened beverages,CKD,High fasting plasma glucose (1.000),1.0,1.0,1.0
Diet high in sugar-sweetened beverages,IschStroke,High fasting plasma glucose (1.000),1.0,1.0,1.0
Diet high in sugar-sweetened beverages,T2D,High fasting plasma glucose (1.000),1.0,1.0,1.0
Diet high in trans fatty acids,IHD,High LDL cholesterol (0.150),0.15,0.15,0.15
Diet low in fruits,CKD,High fasting plasma glucose (0.151); High systolic blood pressure (0.849),1.0,0.849,0.872
Diet low in fruits,ICH,High systolic blood pressure (0.024),0.024,0.024,0.024
Diet low in fruits,IHD,High systolic blood pressure (0.065); High LDL cholesterol (0.065),0.13,0.065,0.126
Diet low in fruits,IschStroke,High fasting plasma glucose (0.050); High systolic blood pressure (0.050); High LDL cholesterol (0.050),0.15,0.05,0.143
Diet low in fruits,SAH,High systolic blood pressure (0.024),0.024,0.024,0.024
Diet low in fruits,T2D,High fasting plasma glucose (1.000),1.0,1.0,1.0
Diet low in nuts and seeds,IHD,High LDL cholesterol (0.196),0.196,0.196,0.196
Diet low in omega-6 polyunsaturated fatty acids,IHD,High LDL cholesterol (0.002),0.002,0.002,0.002
Diet low in omega-6 polyunsaturated fatty acids,IschStroke,High LDL cholesterol (1.000),1.0,1.0,1.0
Diet low in vegetables,CKD,High fasting plasma glucose (0.055); High systolic blood pressure (0.945),1.0,0.945,0.948
Diet low in vegetables,ICH,High fasting plasma glucose (0.083); High systolic blood pressure (0.036),0.119,0.083,0.116
Diet low in vegetables,IHD,High fasting plasma glucose (0.063); High systolic blood pressure (0.041); High LDL cholesterol (0.041),0.145,0.063,0.138
Diet low in vegetables,IschStroke,High fasting plasma glucose (0.083); High systolic blood pressure (0.027); High LDL cholesterol (0.087),0.197,0.087,0.185
Diet low in vegetables,SAH,High systolic blood pressure (0.036),0.036,0.036,0.036
Diet low in vegetables,T2D,High fasting plasma glucose (1.000),1.0,1.0,1.0
Diet low in whole grains,CKD,High fasting plasma glucose (1.000),1.0,1.0,1.0
Diet low in whole grains,IHD,High LDL cholesterol (0.385),0.385,0.385,0.385
Diet low in whole grains,IschStroke,High LDL cholesterol (0.165),0.165,0.165,0.165
Diet low in whole grains,T2D,High fasting plasma glucose (1.000),1.0,1.0,1.0
