Supplementary Table. Sensitivity of results to population structure (2023 vs 2053).
"Base case uses 2023 GBD population. Alternative uses 2053 population from UN World Population Prospects 2024 medium variant, reflecting population growth and aging. Disease rates held constant at 2023 levels. 20% coverage, feasible dietary package."

Country,Diet 2023 (k),Diet 2053 (k),Diet change (%),GLP-1 2023 (k),GLP-1 2053 (k),GLP-1 change (%),Ratio 2023,Ratio 2053,Ratio change (%)
AUS,20.2,29.0,43.5,16.2,24.6,51.5,1.24,1.18,-5.3
BGD,225.2,426.3,89.3,33.0,63.3,91.9,6.83,6.74,-1.4
BGR,22.0,17.8,-18.9,10.4,8.9,-15.0,2.1,2.0,-4.6
BRA,194.1,270.5,39.4,129.0,192.9,49.5,1.5,1.4,-6.8
CAN,22.8,29.2,28.0,23.7,32.8,38.7,0.97,0.89,-7.7
CHN,2653.6,3275.6,23.4,591.1,842.0,42.5,4.49,3.89,-13.3
DEU,78.1,71.2,-8.8,86.7,86.4,-0.3,0.9,0.82,-8.5
EGY,70.6,133.2,88.8,124.5,241.9,94.3,0.57,0.55,-2.8
GBR,47.2,56.1,18.8,47.2,59.2,25.6,1.0,0.95,-5.4
IND,1244.4,2137.7,71.8,246.6,436.2,76.9,5.05,4.9,-2.9
ISR,4.3,7.0,63.3,4.4,7.5,69.2,0.97,0.93,-3.5
JPN,91.5,77.5,-15.3,37.4,34.3,-8.2,2.45,2.26,-7.7
MEX,54.4,95.1,74.8,91.8,163.9,78.6,0.59,0.58,-2.1
NGA,15.6,35.9,130.3,38.7,89.2,130.1,0.4,0.4,0.1
NZL,5.0,6.4,28.4,4.5,6.2,37.8,1.11,1.03,-6.8
ROU,62.3,56.0,-10.1,22.7,21.1,-7.0,2.74,2.65,-3.3
TUR,64.6,99.1,53.4,85.2,137.3,61.2,0.76,0.72,-4.8
USA,361.2,429.9,19.0,325.8,412.4,26.6,1.11,1.04,-6.0
ZAF,2.5,4.5,75.5,22.1,38.8,76.0,0.12,0.12,-0.3
